VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_JA,VO_VI,Word_Count_EN,Pause_After
13,PV_0001,BEAT_02_01,PHASE_EARLY,CONSTRAINT,NARRATION,"Not bad words. Just  -  different ones.","悪い言葉じゃない。ただ  -  違う言葉。","Không phải từ xấu. Chỉ là  -  khác.",6,0
14,PV_0001,BEAT_02_01,PHASE_EARLY,CONSTRAINT,NARRATION,"Your mother speaks to you in something that sounds like water. Soft consonants. Long vowels.","母は水のような言萙で話しかける。柔らかな子音。長い母音。","Mẹ bạn nói với bạn bằng thứ gì đó cảm giác như nước. Phụ âm mềm. Nguyên âm dài.",14,0
15,PV_0001,BEAT_02_01,PHASE_EARLY,CONSTRAINT,NARRATION,"You answer in English. You're not sure when that started.","英語で答える。いつからそうなったのか分からない。","Bạn trả lời bằng tiếng Anh. Bạn không chắc khi nào bắt đầu vậy.",11,0.5
16,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,NARRATION,"When you're seven, mornings have a pattern  -  you hear the engine outside before your cereal gets soggy. Black SUV. Same spot every day. You stopped noticing after a while.","七歳になると、朝にはパターンがある  -  シリアルがふやける前に外でエンジン音がする。黒いSUV。毎日同じ場所。そのうち気にならなくなった。","Khi bạn lên bảy, mỗi sáng đều có một khuôn mẫu  -  bạn nghe tiếng động cơ ngoài cửa trước khi ngũ cốc kịp mềm. SUV đen. Cùng một chỗ mỗi ngày. Dần dần bạn không để ý nữa.",15,0.5
17,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,NARRATION,"You adjust your backpack straps. You don't look at it.","リュックのストラップを直す。そっちは見ない。","Bạn chỉnh dây ba lô. Không nhìn chiếc xe.",9,0
18,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,NARRATION,"Your friends have to pass a background check before they can show up to your birthday. You find this out when your mom mentions it at dinner, like it's nothing.","友達は誕生日に来る前に身元調査を通る必要がある。夕食の時に母がさらっと言って、初めてそれを知った。","Bạn bè phải qua kiểm tra lý lịch mới được đến sinh nhật. Bạn biết điều này khi mẹ nhắc ở bữa tối, như thể chẳng có gì.",15,0
19,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,NARRATION,"You discover video games around eight.","八歳のころ、ゲームを見つける。","Bạn khám phá trò chơi điện tử vào khoảng tám tuổi.",6,0
20,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,NARRATION,"You're not allowed online.","インターネットは禁止されている。","Bạn không được phép chơi online.",5,0
21,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,NARRATION,"Your character runs through the same level for forty minutes because you don't know there's a next room.","次の部屋があるのを知らなくて、同じレベルを四十分走り続ける。","Nhân vật của bạn chạy mãi một màn trong bốn mươi phút vì bạn không biết có phòng tiếp theo.",15,0
22,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,NARRATION,"You find it eventually. Nobody tells you. You figure it out.","最終的に見つける。誰も教えてくれない。自分で気づく。","Cuối cùng bạn tìm ra. Không ai chỉ. Bạn tự tìm.",11,0
23,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,WEIGHT_LINE,"That part you like.","そこは好きだ。","Phần đó bạn thích.",4,1.5
24,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,NARRATION,"You peel the label off a bottle. Halfway. Then stop.","ボトルのラベルを半分剥がす。途中でやめる。","Bạn bóc nhãn chai. Nửa chừng. Rồi dừng.",9,0
25,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,NARRATION,"Some parents say no. Not because of you  -  because of the paperwork.","断る親もいる。あなたのせいじゃない  -  書類のせい。","Vài phụ huynh từ chối. Không phải vì bạn  -  vì thủ tục giấy tờ.",14,0
26,PV_0001,BEAT_02_02,PHASE_EARLY,PRIVILEGE,NARRATION,"The birthday chair is already a little too small for you.","誕生日の椅子はもうあなたには少し小さい。","Cái ghế trong tiệc sinh nhật đã hơi nhỏ so với bạn rồi.",11,0.5
27,PV_0001,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"At school, you use a different name. Something ordinary.","学校では別の名前を使う。ごく普通の名前。","Ở trường, bạn dùng một cái tên khác. Một cái tên bình thường.",10,0
28,PV_0001,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"Nobody knows which family you belong to.","誰もあなたがどの家族の子か知らない。","Không ai biết bạn thuộc gia đình nào.",7,0
29,PV_0001,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"A kid asks where you live. You say Midtown. He goes 'oh, cool' and turns back around. That's it.","ある子が住んでるところを聞いてくる。ミッドタウン、と答える。「へえ、いいね」と言って前を向く。それだけ。","Một đứa hỏi bạn ở đâu. Bạn nói Midtown. Nó quay lại nói 'ờ, hay ha' rồi quay đi. Hết.",15,0.5
30,PV_0001,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"One time a substitute teacher reads your real name off the list. The room gets weird for a second. Then it passes.","一度、代わりの先生があなたの本名を出席簿から読み上げた。教室が一瞬変な空気になる。すぐ過ぎた。","Có lần một giáo viên thay đọc tên thật của bạn trong danh sách. Cả phòng im đi một giây. Rồi qua.",15,0.5
31,PV_0001,BEAT_02_03,PHASE_EARLY,CONSTRAINT,WEIGHT_LINE,"For a few hours, you're just a kid. That's it.","数時間だけ、ただの子供でいられる。それだけでいい。","Vài tiếng đồng hồ, bạn chỉ là một đứa trẻ bình thường. Vậy thôi.",12,1.5
32,PV_0001,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"You don't remember when that became normal.","いつからそれが普通になったか覚えていない。","Bạn không nhớ khi nào điều đó trở nên bình thường.",8,0.5
33,PV_0001,BEAT_02_03b,PHASE_EARLY,CONSTRAINT,NARRATION,"The year before your father wins, you move three times.","父が勝つ前の年、三回引っ越す。","Năm trước khi cha bạn thắng, bạn dọn nhà ba lần.",9,0
34,PV_0001,BEAT_02_03b,PHASE_EARLY,CONSTRAINT,NARRATION,"Three different bedrooms. Three different sets of neighbors.","三つの別々の寱室。三つの別々の近所。","Ba phòng ngủ khác nhau. Ba tập hàng xóm khác nhau.",9,0
35,PV_0001,BEAT_02_03b,PHASE_EARLY,CONSTRAINT,NARRATION,"You stop hanging up posters.","ポスターを貴るのをやめる。","Bạn thôi dán poster.",5,0
36,PV_0001,BEAT_02_03b,PHASE_EARLY,CONSTRAINT,NARRATION,"Not because you stop liking things. Just  - ","好きなものがなくなったわけじゃない。ただ  - ","Không phải vì bạn không thích thứ gì nữa. Chỉ là  - ",10,0
37,PV_0001,BEAT_02_03b,PHASE_EARLY,CONSTRAINT,WEIGHT_LINE,"You know the drill.","分かってる。","Bạn biết cái điệu đó rồi.",4,1.5
38,PV_0001,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"You are ten. Your father wins.","あなたは十歳だ。父が勝った。","Bạn mười tuổi. Cha bạn thắng.",6,1.0
39,PV_0001,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"You move into a house with a hundred and thirty-two rooms.","百三十二の部屋がある家に引っ越す。","Bạn chuyển vào ngôi nhà một trăm ba mươi hai phòng.",10,0
40,PV_0001,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"Your footsteps echo. The hallways smell like old wood and something chemical  -  maybe paint, maybe polish. You're not sure.","足音が響く。廊下は古い木と何か化学的な匂いがする  -  ペンキか、ワックスか。よく分からない。","Tiếng bước chân vọng lại. Hành lang phảng phất mùi gỗ cũ và thứ gì đó hoá chất  -  có lẽ sơn, có lẽ đánh bóng. Bạn không chắc.",15,0
41,PV_0001,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"None of them feel like yours.","どの部屋も自分のものとは感じられない。","Không phòng nào thấy như là của bạn.",6,0.5
42,PV_0001,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"You're the first son to live here since the sixties.","六〇年代以来、ここに住む最初の息子だ。","Bạn là cậu con trai đầu tiên sống ở đây kể từ thập niên sáu mươi.",12,0.5
43,PV_0001,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,"Your mother stays behind in New York a few more months  -  so you can finish the school year.","母はニューヨークにもう数ヶ月残る  -  あなたが学年を終えられるように。","Mẹ bạn ở lại New York thêm vài tháng  -  để bạn hoàn thành năm học.",15,0
44,PV_0001,BEAT_02_05,PHASE_EARLY,REFLECT,WEIGHT_LINE,"She chose you over the spotlight.","彼女はスポットライトよりあなたを選んだ。","Mẹ chọn bạn thay vì ánh đèn sân khấu.",7,1.5
45,PV_0001,BEAT_02_06,PHASE_EARLY,CONSTRAINT,WEIGHT_LINE,"From here on. Everything changes.","ここから先。すべてが変わる。","Từ đây trở đi. Mọi thứ thay đổi.",5,2.0
46,PV_0001,BEAT_02_04,PHASE_EARLY,CONSTRAINT,NARRATION,"You think you understand how this works.","この仕組みが分かっていると思う。","Bạn nghĩ mình hiểu cách này hoạt động.",7,0
47,PV_0001,BEAT_02_04,PHASE_EARLY,CONSTRAINT,WEIGHT_LINE,"You don't.","分かっていない。","Bạn không hiểu.",2,1.5
48,PV_0001,BEAT_03_01,PHASE_CONFLICT,CONSTRAINT,NARRATION,"There are agents outside your classroom at the school in Maryland.","メリーランドの学校で、教室の外にエージェントがいる。","Có nhân viên an ninh ngồi ngay ngoài lớp học ở trường Maryland.",10,0
49,PV_0001,BEAT_03_01,PHASE_CONFLICT,CONSTRAINT,NARRATION,"Plain clothes. But everyone knows.","私服。でも、みんな知っている。","Thường phục. Nhưng ai cũng biết.",5,0
50,PV_0001,BEAT_03_01,PHASE_CONFLICT,CONSTRAINT,NARRATION,"Your desk is the same as everyone else's. The hallway outside it isn't.","あなたの机はみんなと同じ。でも廊下は違う。","Bàn học bạn giống mọi người. Hành lang bên ngoài thì không.",13,0
51,PV_0001,BEAT_03_01,PHASE_CONFLICT,CONSTRAINT,NARRATION,"Once in a while you hear a walkie-talkie through the glass. A chair shifts in the hallway. Someone's always out there.","時々ガラス越しに無線が聞こえる。廊下で椅子がきしむ。誰かがいつもそこにいる。","Thỉnh thoảng bạn nghe tiếng bộ đàm xuyên qua kính. Ghế kêu ngoài hành lang. Luôn có ai đó ở ngoài.",15,0.5
52,PV_0001,BEAT_03_01,PHASE_CONFLICT,CONSTRAINT,NARRATION,"Or maybe it was always like that  -  maybe you just stopped noticing somewhere around the third school.","あるいはずっとそうだったのかもしれない――三つ目の学校あたりで気にしなくなっただけかも。","Hoặc có lẽ lúc nào cũng vậy  -  có lẽ bạn chỉ thôi để ý đâu đó khoảng trường thứ ba.",17,0.5
53,PV_0001,BEAT_03_01b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"Lunch is the hardest part.","昼食時間が一番つらい。","Bữa trưa là phần khó nhất.",5,0
54,PV_0001,BEAT_03_01b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"There are two agents at a table near the cafeteria entrance. Everyone else pretends not to look.","カフェテリアの入口近くにエージェントが二人座っている。みんなは見ないふりをする。","Có hai nhân viên an ninh ngồi một bàn gần lối vào căng-tin. Mọi người khác giả vờ không nhìn.",14,0
55,PV_0001,BEAT_03_01b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"You pretend not to notice them pretending.","あなたは彼らがふりをしているのに気づかないふりをする。","Bạn giả vờ không nhận ra họ đang giả vờ.",8,0
56,PV_0001,BEAT_03_01b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"You can feel it  -  people looking, then looking away.","感じる  -  人が見て、それからそらす。","Bạn cảm nhận được  -  người ta nhìn, rồi nhìn đi.",10,0
57,PV_0001,BEAT_03_01b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"You eat fast. You have gotten good at that.","食事のペースが早い。得意になった。","Bạn ăn nhanh. Bạn giỏi mảng đó rồi.",9,0
58,PV_0001,BEAT_03_01b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"You wipe your hands on a napkin. Then again.","ナプキンで手を拭く。もう一度。","Bạn lau tay vào khăn giấy. Rồi lau lại.",8,0
59,PV_0001,BEAT_03_01b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"A kid tries to sit with you once. You don't know if he's being nice or if his parents told him to.","一度、子が隣に座ろうとする。寄ってきたのか、親に言われたのか分からない。","Một đứa cố ngồi cạnh bạn một lần. Bạn không biết nó tốt bụng hay bị bố mẹ bảo.",16,0
60,PV_0001,BEAT_03_01b,PHASE_CONFLICT,CONSTRAINT,WEIGHT_LINE,"You never figure it out.","それは永遠分からない。","Bạn không bao giờ tìm ra.",4,1.5
61,PV_0001,BEAT_03_02,PHASE_CONFLICT,CONFLICT,NARRATION,"Your friends want to come over. Federal security check first.","友達が遊びに来たがる。まず連邦のセキュリティチェック。","Bạn bè muốn đến chơi. Kiểm tra an ninh liên bang trước đã.",9,0
62,PV_0001,BEAT_03_01,PHASE_CONFLICT,CONSTRAINT,NARRATION,"Everyone knows your name.","みんなが名前を知っている。","Ai cũng biết tên bạn.",4,0
63,PV_0001,BEAT_03_01,PHASE_CONFLICT,CONSTRAINT,WEIGHT_LINE,"Nobody actually knows you.","本当にあなたを知っている人はいない。","Không ai thực sự biết bạn.",5,1.5
64,PV_0001,BEAT_03_02,PHASE_CONFLICT,CONFLICT,WEIGHT_LINE,"Some stop asking.","聞かなくなる子もいる。","Vài người thôi không hỏi nữa.",3,1.0
65,PV_0001,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"You try to explain it to someone once.","一度、誰かに説明しようとする。","Bạn thử giải thích cho ai đó một lần.",8,0
66,PV_0001,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"It doesn't come out right.","うまく言えない。","Nó không ra đúng.",5,0
67,PV_0001,BEAT_03_01,PHASE_CONFLICT,CONFLICT,WEIGHT_LINE,"You stop trying after that.","それ以来、やめた。","Sau đó bạn không thử nữa.",5,1.5
68,PV_0001,BEAT_03_02,PHASE_CONFLICT,CONFLICT,NARRATION,"Other kids make plans after school. Yours need a security advance team.","他の子は放課後の計画を立てる。あなたの予定には警備の事前チームが必要。","Bọn trẻ khác lên kế hoạch sau giờ học. Kế hoạch của bạn cần đội an ninh tiền trạm.",13,0
69,PV_0001,BEAT_03_02,PHASE_CONFLICT,CONFLICT,NARRATION,"A teacher keeps you after class. 'You doing alright?' You nod. That's the whole conversation.","先生が放課後に引き留める。「大丈夫？」うなずく。会話はそれで終わり。","Một giáo viên giữ bạn lại sau giờ. 'Em ổn chứ?' Bạn gật đầu. Hết.",14,0.5
70,PV_0001,BEAT_03_03,PHASE_CONFLICT,REFLECT,NARRATION,"Your siblings end up on cable news most nights, arguing about things you barely follow.","兄姉は夜になるとケーブルニュースに出て、あなたにはよく分からないことで言い争っている。","Anh chị bạn lên truyền hình cáp gần như mỗi tối, tranh cãi những thứ bạn chẳng theo kịp.",15,0
71,PV_0001,BEAT_03_03,PHASE_CONFLICT,REFLECT,NARRATION,"You watch from the couch. Don't say anything.","ソファから見ている。何も言わない。","Bạn ngồi trên sofa xem. Không nói gì.",8,0
72,PV_0001,BEAT_03_03,PHASE_CONFLICT,REFLECT,NARRATION,"Your sleeve catches on the armrest. You fix it without looking.","袖がひじ掛けに引っかかる。見ないで直す。","Tay áo bạn mắc vào tay ghế. Bạn chỉnh lại mà không nhìn.",10,0
73,PV_0001,BEAT_03_03,PHASE_CONFLICT,REFLECT,NARRATION,"Your dad calls from downstairs. You can hear the TV still on. You pretend you're asleep.","父が下から呼ぶ。テレビがまだついている音が聞こえる。寝たふりをする。","Cha bạn gọi từ tầng dưới. Bạn nghe tiếng TV vẫn bật. Bạn giả vờ ngủ.",15,0.5
74,PV_0001,BEAT_03_03b,PHASE_CONFLICT,REFLECT,NARRATION,"Your brothers are older. You watch them argue on television and then see them at breakfast the next morning.","兄たちは年上だ。テレビで彼らが議論するのを見て、翌朝の朝食でまた顔を合わせる。","Anh của bạn lớn hơn. Bạn xem họ tranh cãi trên truyền hình rồi thấy họ ở bữa sáng hôm sau.",17,0
75,PV_0001,BEAT_03_03b,PHASE_CONFLICT,REFLECT,NARRATION,"They eat cereal. They talk about traffic.","シリアルを食べる。渋滞の話をする。","Họ ăn ngũ cốc. Họ nói về kẹt xe.",7,0
76,PV_0001,BEAT_03_03b,PHASE_CONFLICT,REFLECT,NARRATION,"You don't understand how they do that.","彼らがどうやってそうできるのか分からない。","Bạn không hiểu họ làm thế nào được vậy.",7,0
77,PV_0001,BEAT_03_03b,PHASE_CONFLICT,REFLECT,NARRATION,"You ask your brother once. He looks at you. He says: You get used to it.","一度兄に聞いた。兄はあなたを見る。「なれるよ」。","Bạn hỏi anh một lần. Anh nhìn bạn. Anh nói: Em quen thôi.",14,0
78,PV_0001,BEAT_03_03b,PHASE_CONFLICT,REFLECT,WEIGHT_LINE,"You think about that for a long time.","長い間それについて考える。","Bạn nghĩ về điều đó mãi.",8,1.5
79,PV_0001,BEAT_03_03b,PHASE_CONFLICT,REFLECT,NARRATION,"Too long, probably.","長すぎるかもしれない。","Quá lâu, chắc vậy.",3,0.5
80,PV_0001,BEAT_03_03b,PHASE_CONFLICT,REFLECT,NARRATION,"The thing is -","問題は -","Vấn đề là -",4,0
81,PV_0001,BEAT_03_03b,PHASE_CONFLICT,REFLECT,WEIGHT_LINE,"Nobody warns you about the quiet parts.","静かな部分については誰も警告してくれない。","Không ai cảnh báo về những lúc yên lặng.",7,1.5
82,PV_0001,BEAT_03_03,PHASE_CONFLICT,REFLECT,WEIGHT_LINE,"You get... quiet. Not on purpose. It just happens.","だんだん...静かになる。わざとじゃない。ただそうなった。","Bạn trở nên... im lặng. Không phải cố ý. Tự nhiên vậy.",10,1.5
83,PV_0001,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Your father gets impeached for the first time. You're thirteen.","父が初めて弾劾される。あなたは十三歳。","Cha bạn bị luận tội lần đầu. Bạn mười ba.",9,0
84,PV_0001,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"You find out the same way everyone else does.","みんなと同じ方法で知る。","Bạn biết tin giống mọi người.",8,0
85,PV_0001,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Phone. Your room. Lights off.","スマホ。自分の部屋。電気は消えている。","Điện thoại. Phòng bạn. Đèn tắt.",5,0
86,PV_0001,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"The screen glows blue. Your blanket's pulled up to your chin.","画面が青く光る。毛布をあごまで引き上げている。","Màn hình xanh lét. Mền kéo lên tận cằm.",9,0.5
87,PV_0001,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"You lock your phone. Unlock it. Lock it again.","スマホをロックする。アンロック。またロック。","Bạn khóa điện thoại. Mở khóa. Khóa lại.",8,0
88,PV_0001,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Nobody in the house explains it. You're old enough to read.","家の誰も説明してくれない。読める歳だ。","Không ai trong nhà giải thích. Bạn đủ lớn để tự đọc.",10,0
89,PV_0001,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"You think about calling someone. You're not sure who.","誰かに電話しようかと思う。誰にかは分からない。","Bạn nghĩ đến chuyện gọi cho ai đó. Không biết là ai.",11,1.0
90,PV_0001,BEAT_03_05,PHASE_CONFLICT,TIME_MARKER,NARRATION,"The family leaves Washington when you're fourteen.","十四歳の時、家族はワシントンを離れる。","Gia đình rời Washington khi bạn mười bốn.",7,0
91,PV_0001,BEAT_03_05,PHASE_CONFLICT,TIME_MARKER,NARRATION,"The moving trucks show up again. Florida this time. You've lost count of schools.","引っ越しのトラックがまた来る。今度はフロリダ。学校の数はもう分からない。","Xe tải chuyển nhà lại đến. Florida lần này. Bạn đã mất đếm mấy ngôi trường.",14,0.5
92,PV_0001,BEAT_03_06,PHASE_CONFLICT,CONSTRAINT,NARRATION,"By seventeen, you're over six foot seven.","十七歳で、身長は二メートルを超えている。","Mười bảy tuổi, bạn đã cao hơn một mét chín mươi.",7,0
93,PV_0001,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Your phone is at eleven percent. Your thumb won't stop scrolling.","スマホのバッテリーが十一パーセントだ。親指がスクロールを止めない。","Điện thoại bạn còn mười một phần trăm. Ngón tay cứ lướt mãi.",11,0
94,PV_0001,BEAT_03_06,PHASE_CONFLICT,CONSTRAINT,NARRATION,"You can't disappear into a crowd anymore. Every room you walk into, you're the tallest person in it.","もう群衆に紛れることはできない。どの部屋に入っても、一番背が高い。","Không còn lẫn vào đám đông được nữa. Bất kỳ phòng nào bạn bước vào, bạn cao nhất.",15,0
95,PV_0001,BEAT_03_06,PHASE_CONFLICT,CONSTRAINT,NARRATION,"You slouch at your desk. Doesn't help.","机で背を丸める。意味がない。","Bạn gù lưng xuống bàn. Chẳng ăn thua.",6,0
96,PV_0001,BEAT_03_06b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"Your voice changed at fifteen. Nobody said anything.","十五歳で声が変わった。誰も何も言わなかった。","Giọng bạn vỡ ra ở mười lăm. Không ai nói gì.",9,0
97,PV_0001,BEAT_03_06b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"At sixteen, you walk into a hardware store with your security detail.","十六歳で、警備隊と領具店に入る。","Mười sáu tuổi, bạn bước vào một cửa hàng phụ tùng cùng đội an ninh.",13,0
98,PV_0001,BEAT_03_06b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"The guy behind the counter looks past the agents. Looks at you. Says: Need help, sir?","カウンターの後ろの人がエージェントを越してあなたを見る。「こんにちは、何かお手伝いしますか？」。","Người ở quầy nhìn qua mấy nhân viên. Nhìn thẳng vào bạn. Nói: Cần giúp gì không, thưa ông?",15,0
99,PV_0001,BEAT_03_06b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"Not because of who you are. Just because of how tall you are.","あなたが誰だからじゃない。ただ長身だから。","Không phải vì bạn là ai. Chỉ vì bạn quá cao.",11,0
100,PV_0001,BEAT_03_06b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"You buy a lightbulb. That's it.","電球を買う。それだけ。","Bạn mua một cái bóng đèn. Chỉ vậy.",7,0
101,PV_0001,BEAT_03_06b,PHASE_CONFLICT,CONSTRAINT,NARRATION,"The receipt is warm in your hand.","レシートが手の中で温かい。","Hoá đơn ấm trong tay bạn.",6,0
102,PV_0001,BEAT_03_06b,PHASE_CONFLICT,CONSTRAINT,WEIGHT_LINE,"You don't say anything the whole drive home.","帰り道の車の中、何も言わない。","Bạn nghĩ về điều đó suốt đường về nhà.",8,1.5
103,PV_0001,BEAT_03_06,PHASE_CONFLICT,CONSTRAINT,WEIGHT_LINE,"Your body figured it out before you did. It usually does.","体の方が先にわかっていた。いつもそうだ。","Cơ thể bạn hiểu ra trước bạn. Nó thường vậy.",11,1.5
104,PV_0001,BEAT_03_07,PHASE_CONFLICT,REFLECT,NARRATION,"They photograph you walking. Just walking.","歩いている姿を撮られる。ただ歩いているだけで。","Người ta chụp ảnh bạn đi bộ. Chỉ đi bộ thôi.",6,0
105,PV_0001,BEAT_03_07,PHASE_CONFLICT,REFLECT,WEIGHT_LINE,"That's the whole story. All of it.","それが全部。全てだ。","Đó là cả câu chuyện. Tất cả.",7,2.0
106,PV_0001,BEAT_04_01,PHASE_CRISIS,TIME_MARKER,NARRATION,"Somehow you're eighteen.","いつの間にか十八歳になっている。","Không biết từ lúc nào bạn đã mười tám.",4,0
107,PV_0001,BEAT_04_01,PHASE_CRISIS,TIME_MARKER,NARRATION,"You're not sure when that happened.","いつそうなったのか分からない。","Bạn không chắc chuyện đó xảy ra khi nào.",7,0.3
108,PV_0001,BEAT_04_01,PHASE_CRISIS,TIME_MARKER,NARRATION,"You graduate.","卒業する。","Tốt nghiệp.",2,0
109,PV_0001,BEAT_04_01,PHASE_CRISIS,TIME_MARKER,NARRATION,"Your father's running again.","父がまた出馬する。","Cha bạn lại ra tranh cử.",4,0.5
110,PV_0001,BEAT_04_02,PHASE_CRISIS,CRISIS,NARRATION,"They invite you to the convention.","党大会に招待される。","Họ mời bạn dự đại hội.",6,0
111,PV_0001,BEAT_04_02,PHASE_CRISIS,CRISIS,NARRATION,"Delegate.","代議員として。","Làm đại biểu.",1,0.3
112,PV_0001,BEAT_04_02,PHASE_CRISIS,CRISIS,NARRATION,"You say no.","断る。","Bạn từ chối.",3,0.5
113,PV_0001,BEAT_04_02,PHASE_CRISIS,CRISIS,NARRATION,"No one asks what you want.","誰もあなたが何を望んでいるか聞かない。","Không ai hỏi bạn muốn gì.",7,0.5
