Beat_ID,Life_Phase,Beat_Type,Content_Sketch,Mood_Tag,Beat_Duration_Sec,Scene_Type,Illustration_Note
BEAT_05_04,PHASE_RESOLUTION,REFLECT,"It is not freedom. But it is the closest you have ever had.",BITTERSWEET,8,TEXT_OVERLAY,"Warm amber background — IT'S NOT FREEDOM. / BUT IT'S THE CLOSEST YOU'VE HAD."
BEAT_06_01,PHASE_PRESENT,TIME_MARKER,"You are twenty. You transfer to the campus in Washington. You move back into the old house. This time it is your choice.",BITTERSWEET,12,NARRATIVE_SCENE,"Tall stickman walking through White House entrance — same building, different posture — confident"
BEAT_06_02,PHASE_PRESENT,PRIVILEGE,"Your father calls you the king of the internet. You are the one who brought the campaign to podcasters and streamers.",WONDER,12,NARRATIVE_SCENE,"Tall stickman in office — screens showing podcast icons, headphone graphics on wall"
BEAT_06_03,PHASE_PRESENT,CONSTRAINT,"You have no social media accounts. But millions of people talk about you online every day.",TENSION,10,CONTRAST_SPLIT,"Left: stickman with no phone, sitting calmly / Right: wall of floating comment bubbles and phone screens"
BEAT_06_04,PHASE_PRESENT,CONFLICT,"Fake accounts use your name. Doctored photos circulate. Dating rumors are fabricated. You say nothing.",TENSION,12,EMOTIONAL_CLOSEUP,"Tall stickman sitting at desk — phone face-down on table. Desaturated cold grey"
BEAT_06_05,PHASE_PRESENT,PRIVILEGE,"You start appearing in business meetings. Crypto. Beverages. Real estate. You are building something — quietly.",CLARITY,10,NARRATIVE_SCENE,"Tall stickman at conference table — smaller stickmen across table, documents between them"
BEAT_06_06,PHASE_PRESENT,REFLECT,"You attend the State dinner. Front row. Taller than every senator in the room.",CLARITY,10,NARRATIVE_SCENE,"Tall stickman in Congress chamber — marble walls, flag behind podium, seated stickmen below eye level"
BEAT_06_07,PHASE_PRESENT,REFLECT,"You still have not spoken publicly. But your silence became a brand.",BITTERSWEET,8,TEXT_OVERLAY,"Dark navy — YOUR SILENCE BECAME A BRAND."
BEAT_07_01,CALLBACK_CLOSE,CALLBACK,"Remember the penthouse? The tower in Manhattan? The entire floor that was yours?",DEEP_CONNECTION,10,NARRATIVE_SCENE,"Tall stickman standing in penthouse — same room as BEAT_01_01, but stickman now fills the frame"
BEAT_07_02,CALLBACK_CLOSE,REFLECT,"The whole floor was yours. But you never really lived there.",DEEP_CONNECTION,10,EMOTIONAL_CLOSEUP,"Tall stickman at penthouse window — Manhattan skyline behind. Soft warm white edges"
BEAT_07_03,CALLBACK_CLOSE,REFLECT,"You are twenty. And you still have not decided who you are.",DEEP_CONNECTION,8,TEXT_OVERLAY,"Dark background — YOU ARE TWENTY. / AND YOU STILL HAVEN'T DECIDED WHO YOU ARE."
BEAT_07_04,CALLBACK_CLOSE,CTA,"But maybe that is the one right no one can take from you.",DEEP_CONNECTION,8,TEXT_OVERLAY,"Warm amber background — MAYBE THAT'S THE ONE RIGHT / NO ONE CAN TAKE FROM YOU."
