Strip_ID,Start_VO_ID,End_VO_ID,VO_Count,Life_Phase,Scene_Type,Strip_Duration_Sec,Strip_Summary
PV_0019_067,243,246,4,PHASE_CRISIS,NARRATIVE_SCENE,9.4,"The world watches the explosions. Not the bread queue. Not the man at the pharmacy counter. Not twelve families sleeping on concrete."
PV_0019_068,247,249,3,PHASE_CRISIS,NARRATIVE_SCENE,8.5,"Connection cuts. You only have time to say: we're alive. She says thank God. You don't correct her."
PV_0019_069,250,252,3,PHASE_CRISIS,NARRATIVE_SCENE,5.5,"Daughter sitting on the floor. She looks up. Whose planes are those?"
PV_0019_070,253,256,4,PHASE_CRISIS,NARRATIVE_SCENE,10.8,"She's five. Thinks planes belong to someone the way toys do. She's right. Someone decided this in rooms you'll never enter."
PV_0019_071,257,259,3,PHASE_CRISIS,NARRATIVE_SCENE,5.5,"You say: go draw the cat. She does. She draws the cat inside a box."
PV_0019_072,260,260,1,PHASE_CRISIS,EMOTIONAL_CLOSEUP,5.2,"You don't ask what the box is."
PV_0019_073,261,265,5,PHASE_CRISIS,NARRATIVE_SCENE,7.8,"You haven't taken a full breath in a while. You try. It catches halfway. You let it out. Close enough."
PV_0019_074,266,268c,5,PHASE_RESOLUTION,NARRATIVE_SCENE,6.7,"And then it stops. Just like that. When the ceasefire comes nothing returns. Not right away. Not ever."
PV_0019_075,269,272,4,PHASE_RESOLUTION,NARRATIVE_SCENE,7.6,"Apartment has a crack ceiling to floor. You put your finger on it once. Plaster crumbles. You stop touching it."
PV_0019_076,273,275,3,PHASE_RESOLUTION,NARRATIVE_SCENE,7.2,"Metro station nearest your office closed for structural damage. Different route now. Past buildings you don't recognize."
PV_0019_077,276,279,4,PHASE_RESOLUTION,NARRATIVE_SCENE,7.2,"Company lost its servers. The rial fell further than you can calculate. You try anyway. Numbers don't help."
PV_0019_078,280,284,5,PHASE_RESOLUTION,NARRATIVE_SCENE,8.1,"You go back to the office. Half the desks empty. Nobody cleared them out. Coffee cups still on some."
PV_0019_079,285,288,4,PHASE_RESOLUTION,NARRATIVE_SCENE,7.8,"You open your laptop. The cursor blinks. You stare at it. Then start typing. Don't know what else to do."
PV_0019_080,289,292,4,PHASE_RESOLUTION,NARRATIVE_SCENE,8.4,"Ice cream shop on Valiasr closed. Not bombed. Just closed. Owner left and didn't come back."
PV_0019_081,293,296,4,PHASE_RESOLUTION,NARRATIVE_SCENE,7.7,"Cafe where barista misspelled your name still open. Different barista now. Gets your name right. Somehow that's worse."
PV_0019_082,297,298,2,PHASE_RESOLUTION,NARRATIVE_SCENE,6.5,"You don't argue about football anymore. There's no one left to argue with."
PV_0019_083,299,300,2,PHASE_RESOLUTION,NARRATIVE_SCENE,4.6,"Daughter flinches at car doors slamming. Every time."
PV_0019_084,300b,300e,4,PHASE_RESOLUTION,NARRATIVE_SCENE,9.3,"She doesn't wave from the school gate anymore. Runs straight inside. You still watch until she turns the corner. Now you count how long it takes."
PV_0019_085,300f,300i,4,PHASE_RESOLUTION,NARRATIVE_SCENE,7.2,"Wife still puts daughter's shoes by the door every night. Lined up. Ready. You don't ask ready for what."
PV_0019_086,301,302,2,PHASE_RESOLUTION,NARRATIVE_SCENE,5.6,"She sleeps with the documents bag touching her arm. Every night."
PV_0019_087,303,308,6,PHASE_RESOLUTION,EMOTIONAL_CLOSEUP,8.5,"Everything blurs. The crack. The drawing. Daughter's face. Then it comes back. You're standing in the kitchen."
PV_0019_088,309,313,5,PHASE_RESOLUTION,NARRATIVE_SCENE,6.9,"You stop counting. Didn't decide to stop. It just happened. Like the war. Like everything."
PV_0019_089,314,317,4,PHASE_RESOLUTION,NARRATIVE_SCENE,6.2,"You survived. Everyone says that's enough. Mother says God is merciful. Cousin says you're lucky."
PV_0019_090,318,320,3,PHASE_RESOLUTION,TEXT_OVERLAY,7.6,"Your wife doesn't say anything. She just checks the documents bag. It is not enough."
PV_0019_091,321,325,5,PHASE_RESOLUTION,NARRATIVE_SCENE,8.8,"Cat drawing still on the fridge. The crack in the wall runs right through it. Orange body. Blue eyes. Masking tape still peeling."
PV_0019_092,326,328,3,CALLBACK,NARRATIVE_SCENE,7.9,"Daughter sits at the table. She draws the cat again. This time inside a box."
PV_0019_093,329,330,2,CALLBACK,EMOTIONAL_CLOSEUP,6.8,"You almost ask what the box is. You don't ask."
PV_0019_094,331,332,2,CALLBACK,TEXT_OVERLAY,5.8,"Only one number left. Alive."
