"Slate","Start_VO_ID","End_VO_ID","Life_Phase","Scene_Type","Image_Prompt"
"PV_0008_011","8","8","PHASE_EARLY","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Hospital bed  -  very short thin child stickman lying in hospital bed, round white circle head, small pained dot eyes, dark neat hair, bandages on nose, bruise marks visible. Mother stickwoman (faceless, blank white circle head, medium build, phone shape in pocket) sitting beside bed reading from book about space  -  book open showing star shapes. Father not here. Didn't visit. Hospital room  -  white walls, medical equipment. Warm reading light from bedside lamp. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_012","10","10","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Bathroom at night  -  very short thin child stickman lying on cold tile floor, back against tiles. Round white circle head, small determined dot eyes looking upward, dark neat hair. Ceiling light buzzing above  -  single fluorescent tube. Tiles cold white-blue. Bathroom fixtures visible  -  sink, mirror. Looking up at ceiling. One clear thought forming. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_013","10","10","PHASE_EARLY","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Overhead view  -  child stickman lying on bathroom tiles looking directly up at viewer. Round white circle head on white tiles, small resolute dot eyes, dark neat hair, bruise marks fading. Tile grid pattern beneath. Ceiling light buzzing. First escape thought. Background fades from bathroom to cold blue void. Origin of the pattern. Single subject. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_014","11","11","PHASE_EARLY","TEXT_OVERLAY","Dark background with faint bathroom tile pattern and single buzzing ceiling light shape. Large bold white sans-serif text centered: 'I have to leave this place.' Minimal. Cold blue tones. Tiny child stickman silhouette lying on floor at bottom. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
"PV_0008_015","12","12","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Child stickman age 12  -  slightly taller, still thin. Round white circle head, small proud dot eyes, dark neat hair. Sitting at basic computer desk  -  old CRT monitor showing simple game graphics (blocky shapes). Keyboard under small hands. Five hundred dollars earned. First proof: can build way out of anything. Bedroom  -  posters on wall, books stacked. Warm desk lamp. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_016","12","12","PHASE_EARLY","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Close-up  -  child stickman's hands on keyboard, screen glow on round white circle head. Small satisfied dot eyes, dark neat hair. Screen showing SOLD or completion shapes. Five hundred dollars. First exit built with own hands. CRT monitor glow warm green. Background fades to warm amber. Single subject. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_017","13","13","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Airport departure gate  -  lanky thin teen stickman age 17 in jeans and backpack. Round white circle head, small determined dot eyes, dark neat hair. One suitcase at feet. One-way ticket. Airport terminal  -  departure board, gate numbers, large windows showing aircraft on tarmac. Not looking back. South African sunlight through windows behind fading to neutral airport tones ahead. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_018","13","13","PHASE_EARLY","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Lanky thin teen stickman walking away from viewer toward aircraft gate  -  suitcase in hand, backpack on shoulders. Round white circle head, dark neat hair. Thin narrow frame. Not looking back at South African house silhouette fading in far background  -  large home dissolving into golden haze behind him. Airport tarmac ahead. Leaving the country the way he'll leave everything. Completely. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_019","14","14","PHASE_EARLY","TEXT_OVERLAY","Dark background with faint airport silhouette and aircraft shape dissolving. Large bold white sans-serif text centered: 'You leave the country the way you'll leave everything.' Second line: 'Completely.' Minimal. Tiny lanky stickman silhouette walking away at bottom center. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
"PV_0008_020","6","6","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Dining table  -  very short thin child stickman in school uniform sitting at large expensive wooden dining table. Round white circle head, small quiet dot eyes, dark neat hair. Father stickman (faceless, blank white circle head, stocky wide shoulders, mining hat shape) at head of table talking  -  mouth open, gesturing. Talking through the boy not to him. Large South African dining room  -  chandelier, heavy curtains, dark wooden furniture. Oppressive wealth. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_021","9","9","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Hospital bed  -  child stickman lying in bed, round white circle head, small pained dot eyes, dark neat hair, bandages on nose. Father's chair EMPTY beside bed. Mother stickwoman (faceless, blank white circle head, medium build) sitting on other side reading from book with star shapes on pages. About space. He remembers that. Hospital room  -  white walls, IV stand, window showing South African suburb. Warm reading lamp light. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_022","15","15","PHASE_CONFLICT","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. YMCA shower room  -  medium-tall thin stickman in cheap T-shirt, jeans. Round white circle head, small frowning dot eyes, dark hair thinning on top with visible receding hairline, clean-shaven. Standing in communal shower area  -  institutional tiles, multiple shower heads on wall, drain on floor. Thin narrow frame. Backpack on bench. North America. Instant noodle cup shape on bench beside him. Starting from nothing. Institutional cold lighting. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_023","15","15","PHASE_CONFLICT","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Medium-tall thin stickman lying on friend's couch  -  cheap blanket, shoes on floor. Round white circle head on couch cushion, small determined dot eyes, dark thinning hair receding, clean-shaven. Thin frame on small couch. Ceiling above  -  someone else's floor. Cheap apartment  -  bare walls, single lamp. Background fades to cool blue. Starting over. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_024","16","16","PHASE_CONFLICT","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Tiny rented startup office  -  two desks, two chairs. Medium-tall thin stickman in T-shirt, cheap jacket, round white circle head, small focused dot eyes, dark thinning hair receding, clean-shaven. Coding at desk  -  laptop open, code lines implied on screen. Second stickman (faceless, blank white circle head) at other desk. 3AM  -  cleaning lady stickwoman (faceless, blank white circle head, uniform, mop) stepping over him sleeping under desk. She doesn't ask. She's seen this before. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_025","16","16","PHASE_CONFLICT","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Medium-tall thin stickman sleeping under desk on office carpet  -  curled up, laptop still open on desk above showing code. Round white circle head, small exhausted dot eyes closed, dark thinning hair, clean-shaven. 6AM light creeping through office window. Cleaning lady stickwoman (faceless) stepping over him in background. Pattern forming. Background fades to cool grey. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_026","17","17","PHASE_CONFLICT","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Medium-tall thin stickman in slightly better jacket, standing in office that has grown  -  more desks visible. Round white circle head, small satisfied dot eyes, dark thinning hair receding, clean-shaven. Three hundred million dollars. Twenty-seven years old. More money than father ever had. Phone in hand  -  NOT calling father. Office celebration shapes around  -  but focus is on the phone NOT being used. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_027","18","18","PHASE_CONFLICT","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Two-panel visual  -  LEFT: rocket on launchpad shape (desert, metal tower). RIGHT: electric car on assembly line shape (factory, conveyor belt). Medium-tall thin stickman in T-shirt and jeans standing in CENTER between both panels  -  round white circle head, small intense dot eyes, dark thinning hair, clean-shaven. Arms spread toward both. Two companies simultaneously. Everyone says crazy. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_028","18","18","PHASE_CONFLICT","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Ghost memory overlay  -  seven-year-old child stickman lying on bathroom floor tiles (bottom of frame, translucent golden tint) mirrored by adult stickman standing above (present, full opacity). Medium-tall thin frame, round white circle head, small driven dot eyes, dark thinning hair, clean-shaven. Bathroom floor promise: never stop moving. Background fades to warm amber. Connection across time. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_029","20","20","PHASE_CONFLICT","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Suburban home scene  -  medium-tall thin stickman in casual clothes, round white circle head, small distant dot eyes, dark thinning hair, clean-shaven. First wife stickwoman (faceless, blank white circle head, medium build) holding cluster of five tiny child stickmen (faceless, blank white circle heads, varying tiny sizes  -  twins and triplets). Stickman heading toward door with laptop bag. Working hundred hours a week. Never home. American suburban house  -  toys on floor, family chaos. He's already leaving. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_030","20","20","PHASE_CONFLICT","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Doorway  -  medium-tall thin stickman walking out front door, laptop bag on shoulder, back to viewer. Round white circle head turning slightly  -  small conflicted dot eyes. Dark thinning hair, clean-shaven. Behind him: warm lit home interior  -  wife stickwoman (faceless) standing with children shapes. He doesn't know how to stay. Home is not something he knows. Background fades from warm interior to cold blue exterior. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_031","21","21","PHASE_CONFLICT","TEXT_OVERLAY","Dark background with faint repeating pattern: house silhouette → company building → marriage ring → all dissolving leftward. Large bold white sans-serif text centered: 'Build. Burn. Build again.' Second line: 'The engine never changes.' Minimal cycle motif. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
"PV_0008_032","22","22","PHASE_CRISIS","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Desert launch site  -  tall stickman with broadening build in button-up shirt, sleeves rolled. Round white circle head, intense dot eyes, dark hair thinning and receding noticeably, clean-shaven. Standing before launch pad watching rocket explode  -  fireball and debris shape in sky above Pacific ocean visible in background. Three failures. Three craters. Three hundred million dollars gone. Desert landscape  -  scrub brush, launch tower collapsed, smoke. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_033","22","22","PHASE_CRISIS","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Close-up  -  tall stickman with broadening build, button-up shirt, sleeves rolled. Round white circle head, intense dot eyes with forming bags, dark thinning receding hair, clean-shaven. Faint smoke from explosion reflected in dot eyes. Three rockets. Three failures. Thirty-seven years old. Background fades from desert smoke to desaturated grey void. Expression: not defeat  -  refusal. Single subject. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_034","23","23","PHASE_CRISIS","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Office desk  -  tall stickman with broadening build in button-up shirt, sleeves rolled, sitting at desk surrounded by papers, legal documents shape, phone showing frozen bank account. Round white circle head, intense dot eyes with bags, dark thinning receding hair, clean-shaven. Phone in one hand, cold coffee in other. Car company bleeding cash. Divorce papers on desk. Assets frozen. Lawyers on both sides. Eating lunch at office  -  no time to drive anywhere. Everything dying at once. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_035","23","23","PHASE_CRISIS","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Car factory visible through office window  -  assembly line stopped, workers stickmen (faceless) standing idle. Monitor on desk showing declining revenue chart  -  line going down every week. Tall stickman with broadening build at desk, round white circle head, intense dot eyes with bags, dark thinning receding hair, clean-shaven. Phone ringing  -  divorce attorney. Everything dissolving simultaneously. Grey institutional office. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
