VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_VI,Word_Count_EN,Pause_After
22,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,Medical school cost more than your parents' house.,Hoc phi truong y dat hon ca nha bo me ban.,8,0
23,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,"Seven years of training, and the debt still grows faster than you can pay it.","Bay nam dao tao, va no van tang nhanh hon muc ban tra noi.",14,0
24,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,"Your hospital salary covers the rent, the electricity, the insurance.","Luong benh vien du tra tien nha, tien dien, bao hiem.",10,0
25,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,Not the interest.,Khong du tra lai.,3,1.0
26,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,You eat lunch at the hospital cafeteria because it's three dollars cheaper.,Ban an trua o canteen benh vien vi re hon ba do.,11,0
27,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,You studied medicine to help people.,Ban hoc y de giup nguoi.,6,0
28,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,You're good at it. You know you're good at it.,Ban gioi. Ban biet la ban gioi.,10,0
29,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,But good doesn't pay the interest.,Nhung gioi khong tra duoc lai.,6,0
30,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,That part hasn't started yet.,Phan do chua bat dau.,5,1.0
31,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,A man calls your office line on a Thursday.,Mot nguoi dan ong goi vao so phong kham cua ban vao thu Nam.,8,0
32,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,He calls you Doctor.,Anh ta goi ban la Bac si.,4,0
33,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,Not your name. Just Doctor.,Khong ten. Chi Bac si.,5,0.5
34,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,He has a simple request.,Anh ta co mot yeu cau don gian.,5,0
35,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,Blood compatibility test. Tissue typing.,Xet nghiem tuong thich mau. Phan loai mo.,5,0
36,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,Standard workup for a standard patient.,Quy trinh chuan cho benh nhan chuan.,6,0.5
37,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,He'll send the patient to you.,Anh ta se gui benh nhan den cho ban.,6,0
38,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"You'll run the labs, write the results.","Ban chay xet nghiem, ghi ket qua.",7,0
39,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,He'll pick up the report.,Anh ta se den lay bao cao.,5,0
40,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,No one else needs to see it.,Khong ai khac can xem.,6,1.0
41,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"He says it the way a cardiologist would refer a case to a nephrologist - clean, professional, routine.","Anh ta noi giong nhu bac si tim mach gioi thieu ca cho bac si than - gon, chuyen nghiep, binh thuong.",16,0
42,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,He mentions a number.,Anh ta de cap mot con so.,4,0
43,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"More than your monthly salary, for one exam.",Nhieu hon luong thang cua ban. Chi mot lan kham.,8,0.5
44,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,You don't say yes.,Ban khong noi co.,4,0
45,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,You don't say no either.,Ban cung khong noi khong.,5,0
46,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,You write down the address.,Ban ghi lai dia chi.,5,1.0
47,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,The address is a back office behind a pharmacy.,Dia chi la mot phong phia sau mot nha thuoc.,8,0
48,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"End of an alley, past a metal gate that doesn't lock.","Cuoi hem, qua cong sat khong khoa.",10,0
49,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,The light is yellow and hums when you flip it on.,Den mau vang va keu o o khi ban bat len.,10,0
50,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"The equipment is old, but it works.","Thiet bi cu, nhung van chay.",7,0
51,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,Stethoscope. Blood pressure cuff. Sample tubes.,Ong nghe. May do huyet ap. Ong mau.,6,0
52,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,A sharps container that's never been emptied.,Hop dung kim chua bao gio duoc do.,7,0.5
53,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,Everything you'd find in a real clinic.,Tat ca nhung gi ban thay o phong kham that.,7,0
54,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,Because it is one.,Vi day la phong kham.,4,0.5
55,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,WEIGHT_LINE,Just not yours.,Chi la khong phai cua ban.,3,1.0
56,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,The first one sits across from you.,Nguoi dau tien ngoi doi dien ban.,7,0
57,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,Thin. Dark circles under the eyes.,Gay. Quang tham duoi mat.,6,0
58,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,He doesn't look at you. He looks at the floor.,Anh ta khong nhin ban. Anh ta nhin san.,9,0.5
59,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,His shoes are untied. You notice that before you notice anything else.,Day giay khong buoc. Ban de y dieu do truoc moi thu khac.,12,0
60,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,"You place the stethoscope on his chest, the way you've done it a thousand times before.","Ban dat ong nghe len nguc anh ta, nhu da lam ca ngan lan truoc.",15,0
61,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,But your hand isn't steady.,Nhung tay ban khong vung.,5,0
62,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,You check the blood pressure. You check it again.,Ban do huyet ap. Ban do lai.,9,0
63,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,You listen to the heart. You listen to it again.,Ban nghe tim. Ban nghe lai.,9,0
64,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,Not because the readings were unclear.,Khong phai vi ket qua khong ro.,6,0.5
65,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,Because your hands already knew.,Vi doi tay ban da biet tu truoc.,6,1.0
66,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,"You write the results on a form with no letterhead, no hospital logo, just your handwriting.","Ban ghi ket qua len to form khong co tieu de, khong logo benh vien, chi co chu ban.",15,0
67,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,You sign at the bottom.,Ban ky o duoi cung.,5,0
68,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,The pen feels heavier than it should.,Cay but nang hon muc no nen nang.,7,1.0
69,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,You drive home with the radio off.,Ban lai xe ve nha. Tat radio.,7,0
70,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,"You take the long way, past the hospital, past the gas station where you used to fill up.","Ban di duong vong, qua benh vien, qua tram xang ban thuong do.",16,0
71,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,The streetlights pass in the windshield one at a time.,Den duong luot qua kinh xe tung cai mot.,9,0
72,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,You count three before you stop counting.,Ban dem duoc ba roi ngung dem.,7,0
73,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,The envelope is in the glove compartment.,Phong bi nam trong hop dung gang.,7,0
74,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,"You don't open it until the car is parked, engine off, windows up.","Ban khong mo no cho den khi xe dau xong, tat may, dong kinh.",12,0.5
75,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,"Three months of hospital overtime, in a single envelope.","Ba thang lam them o benh vien, trong mot phong bi.",8,0
76,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,For one exam. One patient. One form.,Mot lan kham. Mot benh nhan. Mot to form.,7,0
77,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,WEIGHT_LINE,One signature.,Mot chu ky.,2,1.0
78,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,You tell yourself it was just a blood test.,Ban tu nhu do chi la xet nghiem mau.,8,0
79,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,Just numbers on a page.,Chi la nhung con so tren giay.,5,0
80,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,You've run a hundred of them.,Ban da lam hang tram lan.,6,0
81,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,This one just went to a different address.,Lan nay chi gui den mot dia chi khac.,7,1.0
82,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,You wash your hands before dinner.,Ban rua tay truoc bua toi.,6,0
83,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,You wash them again before bed.,Rua lai truoc khi di ngu.,6,0
84,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,You wash them a third time and stand there looking at the faucet.,Ban rua lan ba roi dung nhin voi nuoc.,12,0
85,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,The soap smells the same as it always does.,Xa phong van mui giong nhu moi khi.,8,0
86,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,Your hands smell different.,Tay ban thi khac.,4,0
87,PV_0023,BEAT_02_05,PHASE_EARLY,REFLECT,NARRATION,Or you think they do.,Hoac ban nghi la vay.,5,1.5
88,PV_0023,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,Morning.,Sang.,1,0
89,PV_0023,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"Eleven o'clock, second patient of the day.","Muoi mot gio, benh nhan thu hai.",7,0
90,PV_0023,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,A woman sits on your exam table. Routine checkup.,Mot nguoi phu nu ngoi tren ban kham. Kham dinh ky.,8,0
91,PV_0023,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,You listen to her heart. You take her blood pressure.,Ban nghe tim co ay. Ban do huyet ap.,10,0
92,PV_0023,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,You write: within normal range.,Ban ghi: trong gioi han binh thuong.,5,0
93,PV_0023,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"She smiles and says thank you, Doctor.","Co ay cuoi va noi cam on, Bac si.",7,0.5
94,PV_0023,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,You nod. That part still feels normal.,Ban gat dau. Phan do van binh thuong.,7,1.0
95,PV_0023,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"You think about how, from the outside, this morning looks exactly like what you trained for - a doctor helping a patient.","Ban nghi tu ben ngoai, buoi sang nay trong giong het nhung gi ban duoc dao tao - bac si giup benh nhan.",20,0
96,PV_0023,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,It is what you trained for.,Dung la nhung gi ban duoc dao tao.,6,1.0
97,PV_0023,BEAT_03_02,PHASE_CONFLICT,CONTRAST,NARRATION,That evening.,Toi hom do.,2,0
98,PV_0023,BEAT_03_02,PHASE_CONFLICT,CONTRAST,NARRATION,"Seven-thirty, back office behind the pharmacy.","Bay gio ruoi, phong phia sau nha thuoc.",6,0
99,PV_0023,BEAT_03_02,PHASE_CONFLICT,CONTRAST,NARRATION,A man sits on a different table.,Mot nguoi dan ong ngoi tren ban khac.,7,0
100,PV_0023,BEAT_03_02,PHASE_CONFLICT,CONTRAST,NARRATION,"You listen to his heart, the same way.","Ban nghe tim anh ta, cung cach do.",7,0
101,PV_0023,BEAT_03_02,PHASE_CONFLICT,CONTRAST,NARRATION,You take his blood pressure. Normal.,Ban do huyet ap. Binh thuong.,6,0
102,PV_0023,BEAT_03_02,PHASE_CONFLICT,CONTRAST,NARRATION,You write: within normal range.,Ban ghi: trong gioi han binh thuong.,5,0.5
103,PV_0023,BEAT_03_02,PHASE_CONFLICT,CONTRAST,NARRATION,Same words. Same handwriting. Same pen.,Cung tu. Cung chu viet. Cung but.,6,0
104,PV_0023,BEAT_03_02,PHASE_CONFLICT,CONTRAST,NARRATION,He doesn't smile. He doesn't say anything.,Anh ta khong cuoi. Khong noi gi.,7,0
105,PV_0023,BEAT_03_02,PHASE_CONFLICT,CONTRAST,NARRATION,You use the same sentence you used this morning.,Ban dung cung cau noi giong buoi sang.,9,0
106,PV_0023,BEAT_03_02,PHASE_CONFLICT,CONTRAST,WEIGHT_LINE,One says thank you. The other says nothing.,Mot nguoi noi cam on. Nguoi kia im lang.,8,1.0
107,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,You stop checking twice.,Ban ngung kiem tra hai lan.,4,0
108,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"You used to listen to the heart, then listen again, just to be sure.","Truoc day ban nghe tim, roi nghe lai, cho chac.",13,0
109,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,Now you listen once.,Gio ban nghe mot lan.,4,0
110,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,Then you stop listening that long.,Roi ban ngung nghe lau nhu vay.,6,0.5
111,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,The stethoscope picks up whatever's there.,Ong nghe bat duoc gi thi bat.,6,0
112,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"Your ears still hear the same thing, either way.","Tai ban van nghe giong nhau, dang nao cung vay.",8,0
113,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,Some nights you drive home and try to separate the morning exams from the evening ones in your head.,Nhung dem ban lai xe ve va co tach buoi kham sang khoi buoi kham toi trong dau.,17,0
114,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"Morning patients and evening donors, all in the same list.","Benh nhan sang va donor toi, cung mot danh sach.",9,0
115,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,You try to put them in different categories.,Ban co xep ho vao nhung muc khac nhau.,8,0
116,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,Then you stop trying.,Roi ban ngung co.,4,1.0
117,PV_0023,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,The categories were yours. The system never had them.,Cac muc do la cua ban. He thong chua bao gio co.,9,0.5
118,PV_0023,BEAT_03_04,PHASE_CONFLICT,CONSTRAINT,NARRATION,The sample goes through the hospital lab.,Mau mau di qua phong lab benh vien.,7,0
119,PV_0023,BEAT_03_04,PHASE_CONFLICT,CONSTRAINT,NARRATION,You write a name on the tube that doesn't belong to anyone.,Ban viet mot ten len ong mau khong thuoc ve ai.,11,0
120,PV_0023,BEAT_03_04,PHASE_CONFLICT,CONSTRAINT,NARRATION,"It sits on the rack between the ten o'clock cholesterol panel and the eleven o'clock thyroid check, and nobody looks twice.","Ong mau nam tren khay giua mau cholesterol muoi gio va mau tuyen giap muoi mot gio, khong ai nhin lai.",20,0
121,PV_0023,BEAT_03_04,PHASE_CONFLICT,CONSTRAINT,NARRATION,The machine reads the barcode. The machine reads the numbers.,May doc ma vach. May doc so.,10,0.5
122,PV_0023,BEAT_03_04,PHASE_CONFLICT,CONSTRAINT,NARRATION,Your handwriting on the false name is steady now.,Chu viet cua ban tren ten gia gio da vung.,8,0
123,PV_0023,BEAT_03_04,PHASE_CONFLICT,CONSTRAINT,NARRATION,It used to shake.,Truoc day no run.,4,0
124,PV_0023,BEAT_03_04,PHASE_CONFLICT,CONSTRAINT,WEIGHT_LINE,It doesn't.,Gio khong.,2,1.0
125,PV_0023,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,A donor looks at you during the exam.,Mot donor nhin ban trong luc kham.,7,0
126,PV_0023,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,Not at the equipment. Not at the wall. At you.,Khong nhin thiet bi. Khong nhin tuong. Nhin ban.,9,0.5
127,PV_0023,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,He asks: is this safe.,Anh ta hoi: co an toan khong.,5,0.5
128,PV_0023,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,"You answer the way you've practiced - same tone you use in the morning clinic, same pause before the reassurance.","Ban tra loi theo cach da tap - cung giong nhu o phong kham sang, cung khoang ngung truoc loi tran an.",18,0
129,PV_0023,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,Everything is within normal range. No abnormalities detected.,Moi thu trong gioi han binh thuong. Khong co bat thuong.,8,0.5
130,PV_0023,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,He nods slowly.,Anh ta gat dau tu tu.,3,0
131,PV_0023,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,He believes you because you sound like a doctor.,Anh ta tin ban vi ban nghe giong bac si.,9,0
132,PV_0023,BEAT_03_05,PHASE_CONFLICT,CONFLICT,WEIGHT_LINE,You sound like a doctor because you are one.,Ban nghe giong bac si vi ban la bac si.,8,1.5
133,PV_0023,BEAT_03_06,PHASE_CONFLICT,REFLECT,NARRATION,The form has a checkbox at the bottom.,To form co mot o danh dau o cuoi.,7,0
134,PV_0023,BEAT_03_06,PHASE_CONFLICT,REFLECT,NARRATION,Suitable for procedure.,Du dieu kien phau thuat.,3,0.5
135,PV_0023,BEAT_03_06,PHASE_CONFLICT,REFLECT,NARRATION,Your pen hovers over the box.,But ban luong lo tren o danh dau.,6,0
136,PV_0023,BEAT_03_06,PHASE_CONFLICT,REFLECT,NARRATION,Not because you don't know the answer.,Khong phai vi ban khong biet cau tra loi.,7,0.5
137,PV_0023,BEAT_03_06,PHASE_CONFLICT,REFLECT,WEIGHT_LINE,Because you do.,Vi ban biet.,3,1.5
138,PV_0023,BEAT_03_06,PHASE_CONFLICT,REFLECT,NARRATION,You know what the checkbox means.,Ban biet o danh dau do nghia la gi.,6,0
139,PV_0023,BEAT_03_06,PHASE_CONFLICT,REFLECT,NARRATION,You know where the form goes after you sign it.,Ban biet to form se di dau sau khi ban ky.,9,0
140,PV_0023,BEAT_03_06,PHASE_CONFLICT,REFLECT,NARRATION,You know what happens to the person sitting across from you after you check it.,Ban biet dieu gi xay ra voi nguoi ngoi doi dien sau khi ban danh dau.,14,1.0
141,PV_0023,BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,NARRATION,You check the box. You sign.,Ban danh dau. Ban ky.,6,0.5
142,PV_0023,BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,NARRATION,The next one comes two weeks later. You don't hesitate.,Nguoi tiep theo den hai tuan sau. Ban khong do du.,10,0
143,PV_0023,BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,NARRATION,The one after that comes ten days later. You don't look up.,Nguoi tiep nua den muoi ngay sau. Ban khong nhin len.,11,0
144,PV_0023,BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,NARRATION,The one after that comes a week later.,Nguoi sau nua den mot tuan sau.,8,0
145,PV_0023,BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,NARRATION,You adjust the stethoscope around your neck. Habit.,Ban chinh lai ong nghe quanh co. Thoi quen.,8,0
146,PV_0023,BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,NARRATION,There's a water stain on the ceiling tile above the exam chair.,Co vet nuoc tren tran ngay phia tren ghe kham.,11,0
147,PV_0023,BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,NARRATION,You notice it every time.,Ban de y no moi lan.,5,0
148,PV_0023,BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,NARRATION,"You think about how you should mention it to someone, but you don't know who owns this building.","Ban nghi nen noi voi ai do, nhung ban khong biet ai so huu toa nha nay.",17,0
149,PV_0023,BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,NARRATION,You don't know the address. You don't know anyone's real name.,Ban khong biet dia chi. Khong biet ten that cua ai.,11,0
150,PV_0023,BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,NARRATION,That used to bother you.,Truoc day dieu do lam ban kho chiu.,5,1.5
151,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,A new sample arrives.,Mot mau mau moi den.,4,0
152,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,Smaller volume.,The tich nho hon.,2,0
153,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,"The tube is light in your hand, lighter than any you've held before.","Ong mau nhe trong tay ban, nhe hon bat ky ong nao ban tung cam.",12,0
154,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,"You hold it up to the light. The blood sits at the bottom, barely covering the line.","Ban dua len anh sang. Mau nam o day, vua du che vach ke.",15,0.5
155,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,You've held hundreds of tubes. This one weighs different.,Ban da cam hang tram ong. Ong nay nang khac.,9,0
156,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,Whoever this came from didn't have much to give.,Nguoi ma mau nay den tu khong co nhieu de cho.,9,0.5
157,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,You don't ask why.,Ban khong hoi tai sao.,4,0
158,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,"You already know why, and you don't want to hear it confirmed.","Ban da biet tai sao, va ban khong muon nghe ai xac nhan.",11,1.0
159,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,You run the test anyway.,Ban van chay xet nghiem.,5,0
160,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,"You label the tube, the same way you label every tube.","Ban dan nhan ong mau, giong nhu moi ong khac.",10,0
161,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,The false name doesn't bother you anymore. The small volume does.,Ten gia khong lam ban ban khoan nua. The tich nho moi la van de.,10,0
162,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,Something in your chest tightens. Not guilt. Closer to recognition.,Cai gi do trong nguc ban that lai. Khong phai toi loi. Gan hon la nhan ra.,10,0.5
163,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,The results come back clean. Everything within normal range.,Ket qua sach. Moi thu trong gioi han binh thuong.,9,0.5
164,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,Healthy. Viable. Compatible.,Khoe. Kha thi. Tuong thich.,3,0
165,PV_0023,BEAT_04_01,PHASE_CRISIS,CRISIS,NARRATION,That's the part you'll remember.,Do la phan ban se nho.,5,1.0
166,PV_0023,BEAT_04_02,PHASE_CRISIS,CONFLICT,NARRATION,The broker calls. Results?,Nguoi moi gioi goi. Ket qua?,5,0.5
167,PV_0023,BEAT_04_02,PHASE_CRISIS,CONFLICT,NARRATION,You look at the numbers on your desk.,Ban nhin nhung con so tren ban.,7,0
168,PV_0023,BEAT_04_02,PHASE_CRISIS,CONFLICT,NARRATION,Kidney function is borderline.,Chuc nang than o muc gioi han.,4,0
169,PV_0023,BEAT_04_02,PHASE_CRISIS,CONFLICT,NARRATION,You could clear it. You've cleared worse.,Ban co the cho qua. Ban da cho qua truong hop xau hon.,7,0.5
