"Clip_ID","Source_Strip","Start_VO_ID","End_VO_ID","Duration_Sec","Camera_Movement","Animation_Note","Veo_Prompt"
"PV_0006_C011","PV_0006_011","11","11","6.9","SLOW_PAN_RIGHT","Stickman walks through gate  -  simple walk cycle","Young stickman in uniform walking through military barracks gate, recruits filing through entrance. Camera: Slow horizontal pan right following subject, steady pace. Stickman walks forward through gate  -  simple walk cycle. Minimalist stickman animation, flat illustration style, revolutionary barracks background. Duration: 6.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C012","PV_0006_012","12","12","14.3","SLOW_PAN_RIGHT","Stickman stands at attention  -  slight wind movement on flag","Young recruit stickman standing at attention in formation, two military groups divided in courtyard. Camera: Slow horizontal pan right across formation, steady pace. Stickman stands rigid  -  slight wind movement on nearby flag. Minimalist stickman animation, flat illustration style, military parade ground background. Duration: 14.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C013","PV_0006_013","13","13","8.3","SLOW_PAN_RIGHT","Stickman rises from crouching to standing in trench  -  growth metaphor","Stickman soldier in trench warfare scene with sandbags, barbed wire, smoke. Camera: Slow horizontal pan right, steady pace. Stickman gradually rises from crouching to standing posture  -  growth from soldier to commander. Minimalist stickman animation, flat illustration style, desert battlefield background. Duration: 8.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C014","PV_0006_014","14","14","7.4","SLOW_ZOOM_IN","Stickman points at tactical map on ground  -  single gesture","Young officer stickman crouching beside tactical map in trench, pointing at flanking route. Camera: Slow, gentle zoom in toward map detail, 10% zoom over full duration. Stickman points at map  -  single deliberate gesture. Minimalist stickman animation, flat illustration style, trench environment background. Duration: 7.4 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C015","PV_0006_015","15","15","10.3","SLOW_ZOOM_IN","Stickman holds photographs close to chest  -  slight hand movement","Officer stickman holding three small photographs close to left chest pocket. Camera: Slow, gentle zoom in toward photographs and chest area, 10% zoom over full duration. Stickman slightly adjusts grip on photographs. Minimalist stickman animation, flat illustration style, tent interior with kerosene lamp background. Duration: 10.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C016","PV_0006_016","16","16","6.5","SLOW_PAN_RIGHT","Fallen soldiers have slight convulsing micro-movement","Battlefield aftermath with chemical haze cloud, soldiers collapsed on ground. Camera: Slow horizontal pan right across battlefield, steady pace. Fallen stickmen have slight convulsing micro-movement. Minimalist stickman animation, flat illustration style, scorched desert battlefield background. Duration: 6.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C017","PV_0006_017","17","17","12.5","PUSH_IN","Dying soldier's grip tightens on wrist  -  focus on hand detail","Officer stickman kneeling, dying soldier gripping his wrist tightly. Camera: Slow camera push in toward gripping hands, emphasizing the connection. Dying soldier's grip visibly tightens  -  micro-movement on wrist contact. Minimalist stickman animation, flat illustration style, warm amber glow edges. Duration: 12.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C018","PV_0006_018","18","18","14.3","SLOW_PAN_RIGHT","Stickman writes at desk  -  pen movement across page","Officer stickman at university desk writing thesis, military maps beside academic books. Camera: Slow horizontal pan right, steady pace. Stickman's hand moves pen across page  -  writing motion. Minimalist stickman animation, flat illustration style, university lecture hall background. Duration: 14.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C019","PV_0006_019","19","19","10.7","SLOW_PAN_RIGHT","Stickman turns page of case file  -  other officers raise tea glasses","Officer stickman reading case file at table, other officers drinking tea at adjacent table. Camera: Slow horizontal pan right from subject to tea drinkers, steady pace. Subject turns page  -  officers raise tea glasses. Minimalist stickman animation, flat illustration style, military lounge background. Duration: 10.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C020","PV_0006_020","20","20","12.5","SLOW_ZOOM_IN","Stickman typing on typewriter  -  fingers pressing keys","Officer stickman standing at desk with typewriter, typing twelve-page document. Camera: Slow, gentle zoom in toward typewriter and typing hands, 10% zoom over full duration. Stickman's fingers press typewriter keys  -  mechanical typing motion. Minimalist stickman animation, flat illustration style, sparse military office background. Duration: 12.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C021","PV_0006_021","21","21","7.9","SLOW_PAN_RIGHT","Stickman walks forward down corridor  -  other figures walk opposite direction","Officer stickman walking down military hallway holding folder, other soldiers walking opposite direction. Camera: Slow horizontal pan right following subject, steady pace. Subject walks forward  -  others walk away in opposite direction. Minimalist stickman animation, flat illustration style, deserted military hallway background. Duration: 7.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C022","PV_0006_022","22","22","4.6","SLOW_ZOOM_IN","Stickman signs document  -  pen stroke visible","Stickman in dark jacket signing founding documents at desk, map of foreign regions on wall. Camera: Slow, gentle zoom in toward signing hand, 10% zoom over full duration. Stickman's pen makes signing stroke. Minimalist stickman animation, flat illustration style, intelligence office background. Duration: 4.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C023","PV_0006_023","23","23","8.8","SLOW_PAN_RIGHT","Stickman walks along training line  -  recruits stand at attention","Stickman reviewing fighters at mountainous training ground, recruit stickmen in formation. Camera: Slow horizontal pan right along formation line, steady pace. Stickman walks slowly along line inspecting. Minimalist stickman animation, flat illustration style, remote mountain training ground background. Duration: 8.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C024","PV_0006_024","24","24","10.7","SLOW_PAN_RIGHT","Operative stickmen walk through airport  -  natural walking pace","Two operative stickmen carrying briefcases through airport terminal corridor. Camera: Slow horizontal pan right following operatives, steady pace. Stickmen walk at natural pace through terminal. Minimalist stickman animation, flat illustration style, international airport background. Duration: 10.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C025","PV_0006_025","25","25","10.2","SLOW_ZOOM_IN","No movement  -  eerie still empty office","Empty office with no nameplate, frosted glass with dark silhouette behind, single lightbulb. Camera: Slow, gentle zoom in toward frosted glass silhouette, 10% zoom over full duration. No movement  -  eerie stillness. Minimalist stickman animation, flat illustration style, anonymous office background. Duration: 10.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C026","PV_0006_026","26","26","13.4","SLOW_ZOOM_IN","Stickman traces connections on map with finger  -  pointing gesture","Stickman at large wall map with pins and red string showing cell network. Camera: Slow, gentle zoom in toward map connections, 10% zoom over full duration. Stickman traces connection lines with finger. Minimalist stickman animation, flat illustration style, intelligence room background. Duration: 13.4 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C027","PV_0006_027","27","27","12.0","SLOW_ZOOM_OUT","Stickmen drill in compound  -  repetitive training movements","Rural compound with farm buildings and training stickmen drilling in courtyard. Camera: Slow, gentle zoom out from compound revealing farmland disguise, revealing wider environment. Stickmen perform repetitive training movements. Minimalist stickman animation, flat illustration style, Middle Eastern rural landscape background. Duration: 12.0 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C028","PV_0006_028","28","28","4.7","SLOW_ZOOM_IN","Explosion smoke rises  -  debris settles slowly","Embassy building exploding in South American city, smoke billowing. Camera: Slow, gentle zoom in toward explosion center, 10% zoom over full duration. Smoke rises and debris settles slowly. Minimalist stickman animation, flat illustration style, Buenos Aires street background. Duration: 4.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C029","PV_0006_029","29","29","4.5","SLOW_ZOOM_OUT","Ghost silhouettes slowly rise from crater  -  ethereal movement","Crater where community center stood, 85 ghost silhouettes rising from rubble. Camera: Slow, gentle zoom out revealing full crater and ghost figures, wide view. Ghost silhouettes slowly drift upward  -  ethereal movement. Minimalist stickman animation, flat illustration style, Buenos Aires neighborhood background. Duration: 4.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C030","PV_0006_030","30","30","8.3","SLOW_PAN_RIGHT","Rescue workers move slowly through rubble  -  lifting debris pieces","Rescue workers in orange vests pulling rubble, child-sized shape in dust silhouette. Camera: Slow horizontal pan right across rescue scene, steady pace. Rescue stickmen move slowly lifting debris. Minimalist stickman animation, flat illustration style, destroyed residential neighborhood background. Duration: 8.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C031","PV_0006_031","31","31","10.6","SLOW_ZOOM_IN","No character movement  -  focus on desk documents and photographs","Close-up of desk with briefing folder, report pages, rescue photographs, child's textbook among items. Camera: Slow, gentle zoom in toward textbook detail, 10% zoom over full duration. No movement  -  somber documentation still life. Minimalist stickman animation, flat illustration style, military desk background. Duration: 10.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C032","PV_0006_032","32","32","3.8","SLOW_ZOOM_IN","Finger points at attribution line  -  single deliberate gesture","Stickman finger pointing at intelligence report attribution line on desk. Camera: Slow, gentle zoom in toward pointing finger and document, 10% zoom over full duration. Single deliberate pointing gesture. Minimalist stickman animation, flat illustration style, dark intelligence office background. Duration: 3.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C033","PV_0006_033","33","33","12.5","PUSH_IN","Stickman folds paper precisely  -  places on left side of desk  -  deliberate slow ritual","Stickman standing at desk folding briefing paper, placing on left side stack. Camera: Slow camera push in toward desk and folding hands, emotional intensity. Stickman folds paper precisely, places on left side  -  deliberate slow ritual. Minimalist stickman animation, flat illustration style, grey vignette edges. Duration: 12.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C034","PV_0006_034","35","35","12.5","SLOW_PAN_RIGHT","Stickman walks down corridor away from camera  -  shadow stretches behind","Stickman walking down headquarters corridor, back to viewer, shadow stretching behind. Camera: Slow horizontal pan right following subject down corridor, steady pace. Stickman walks steadily forward, shadow grows behind. Minimalist stickman animation, flat illustration style, military headquarters corridor background. Duration: 12.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C035","PV_0006_035","36","36","9.2","SLOW_PAN_RIGHT","Stickman hands folder to successor  -  successor turns to walk away","Two stickmen at desk, subject handing folder to successor who turns to walk through airport. Camera: Slow horizontal pan right from handover to airport window, steady pace. Folder passed  -  successor turns and walks away. Minimalist stickman animation, flat illustration style, intelligence office with airport vignette background. Duration: 9.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C036","PV_0006_036","37","37","4.3","STATIC","Text fades in  -  static","Bold white text on dark charcoal background: 'You warned him about that.' Fixed camera, no movement. Text fades in  -  otherwise static. Minimalist typography animation. Duration: 4.3 seconds. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C037","PV_0006_037","34","34","13.0","SLOW_PAN_RIGHT","Stickman stands at window looking at Red Notice  -  slight head tilt","Stickman in suit standing at window looking at Red Notice framed on wall, world map with dots. Camera: Slow horizontal pan right, steady pace. Stickman stands with slight head tilt examining warrant. Minimalist stickman animation, flat illustration style, minister's office background. Duration: 13.0 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C038","PV_0006_038","38","38","6.5","SLOW_ZOOM_IN","Stickman stands behind desk looking at computer screen  -  still","Stickman in suit standing behind desk looking at monitor showing Red Notice, 2007 atmosphere. Camera: Slow, gentle zoom in toward monitor screen, 10% zoom over full duration. Stickman stands motionless watching screen. Minimalist stickman animation, flat illustration style, government office background. Duration: 6.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C039","PV_0006_039","39","39","9.7","SLOW_PAN_RIGHT","No character movement  -  camera pans along missile storage racks","Missile storage facility with rows of missiles on racks, stickman inspecting at end of row. Camera: Slow horizontal pan right along missile rows toward stickman, steady pace. No character movement  -  still inspection. Minimalist stickman animation, flat illustration style, underground bunker storage background. Duration: 9.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C040","PV_0006_040","40","40","6.9","SLOW_ZOOM_IN","Stickman stands at window  -  micro breathing  -  beyond glass: city lights","Stickman in suit standing at large window, cage pattern reflected in glass, unreachable city beyond. Camera: Slow, gentle zoom in toward window and reflection, 10% zoom over full duration. Stickman breathes slightly  -  otherwise motionless. Minimalist stickman animation, flat illustration style, minister office background. Duration: 6.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C041","PV_0006_041","41","41","10.2","PUSH_IN","Stickman breathes slightly  -  gear outlines slowly rotate around him","Stickman in suit standing still, faint mechanical gear outlines encircling him, blue wash edges. Camera: Slow camera push in toward isolated subject. Stickman breathes slightly, gear outlines slowly rotate. Minimalist stickman animation, flat illustration style. Duration: 10.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C042","PV_0006_042","42","42","9.7","SLOW_ZOOM_IN","Stickman signs contract  -  engineer points at screen trajectories","Stickman at defense minister desk signing contracts, engineer at screen showing warhead trajectories. Camera: Slow, gentle zoom in toward signing and screen, 10% zoom over full duration. Signing motion and engineer pointing. Minimalist stickman animation, flat illustration style, defense ministry office background. Duration: 9.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C043","PV_0006_043","43","44","8.8","SLOW_PAN_RIGHT","Split composition  -  interior minister at desk (left) pans to street scene with women dancing (right)","Split scene  -  interior minister at checkpoint screens panning to street with women pulling scarves, dancing. Camera: Slow horizontal pan right from office to street window view, steady pace. Contrast between control and liberation. Minimalist stickman animation, flat illustration style, Iranian city background. Duration: 8.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C044","PV_0006_044","45","46","12.0","SLOW_ZOOM_IN","Riot police line advances toward protesters  -  slow confrontation","Riot scene with police line facing protesters, rubber shells transitioning to real bullets, fires burning. Camera: Slow, gentle zoom in toward confrontation line, 10% zoom over full duration. Police line advances slowly toward protesters. Minimalist stickman animation, flat illustration style, Iranian city street at night background. Duration: 12.0 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C045","PV_0006_045","47","49","6.1","SLOW_PAN_RIGHT","Protesters hold banners  -  camera pans across crowd","Protest crowd holding banners in city square, subject's name absent from every sign. Camera: Slow horizontal pan right across demonstrators, steady pace. Protesters hold banners with slight swaying movement. Minimalist stickman animation, flat illustration style, Iranian city square background. Duration: 6.1 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C046","PV_0006_046","48","48","12.9","PUSH_IN","Stickman breathes slightly in darkness  -  near-silhouette  -  otherwise completely still","Stickman sitting alone in completely dark room, only faint outline visible, hands on knees, processing. Camera: Slow camera push in toward silhouette, emotional intensity. Stickman breathes slightly  -  otherwise completely still in darkness. Minimalist stickman animation, flat illustration style, grey vignette background. Duration: 12.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C047","PV_0006_047","50","50","5.7","SLOW_ZOOM_OUT","Stickman stands up from chair as fluorescent lights turn on  -  brightness floods frame","Stickman standing up from chair as room lights turn on, bright white washing over scene. Camera: Slow, gentle zoom out revealing room now illuminated, wider view. Stickman rises to standing position as light floods in. Minimalist stickman animation, flat illustration style, utilitarian office background. Duration: 5.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C048","PV_0006_048","51","51","9.7","SLOW_ZOOM_IN","Stickman closes one folder and opens next  -  methodical repetition","Stickman standing at desk at night, closing casualty report folder and reaching for next one. Camera: Slow, gentle zoom in toward desk and folders, 10% zoom over full duration. Methodical folder close-open motion. Minimalist stickman animation, flat illustration style, night office with desk lamp background. Duration: 9.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C049","PV_0006_049","52","52","6.9","SLOW_ZOOM_IN","No character movement  -  screen shows archival footage of successor","Screen showing drone strike footage and archival image of famous successor, empty chair in frame. Camera: Slow, gentle zoom in toward screen content, 10% zoom over full duration. No character movement  -  screen content is focus. Minimalist stickman animation, flat illustration style, dark viewing room background. Duration: 6.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C050","PV_0006_050","53","53","12.5","PUSH_IN","Stickman holds phone watching footage  -  hand slightly trembling  -  then pockets phone","Stickman standing alone in bathroom holding phone showing footage, mirror reflection visible. Camera: Slow camera push in toward phone screen and subject face. Hand holding phone slightly trembles  -  then pockets phone and washes hands. Minimalist stickman animation, flat illustration style, warm amber edges. Duration: 12.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C051","PV_0006_051","54","54","6.5","SLOW_ZOOM_IN","No character movement  -  focus on empty commander chair with fires reflecting on table","Empty commander chair at head of table, fires visible through window reflecting orange on table surface. Camera: Slow, gentle zoom in toward empty chair, 10% zoom over full duration. No movement  -  fire reflections flicker on table. Minimalist stickman animation, flat illustration style, military operations room background. Duration: 6.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C052","PV_0006_052","55","55","17.5","SLOW_ZOOM_IN","Stickman signs document at small table  -  handshake with one officer  -  walks toward different exit door","Tiny ceremony in container-sized room, seven officers, stickman signing document at small table. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman signs, shakes one hand, walks toward different exit. Minimalist stickman animation, flat illustration style, cramped container room background. Duration: 17.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C053","PV_0006_053","56","56","8.5","STATIC","Text fades in line by line  -  static","Bold white text on dark navy-black background. Fixed camera, no movement. Text fades in line by line  -  otherwise static. Minimalist typography animation. Duration: 8.5 seconds. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C054","PV_0006_054","57","57","12.0","SLOW_ZOOM_OUT","Missile trails descend  -  explosions bloom on ground  -  rescue vehicles rush toward impacts","Panoramic pre-dawn sky with three waves of missile trails, ground explosions, rescue vehicles rushing. Camera: Slow, gentle zoom out revealing full regional scale, wide view. Missile trails descend, explosions bloom, rescue vehicles move. Minimalist stickman animation, flat illustration style, dark regional landscape background. Duration: 12.0 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C055","PV_0006_055","59","59","10.2","SLOW_ZOOM_IN","Stickman stands rigid  -  ceiling light sways slightly  -  water glass ripples","Stickman in military uniform with flak vest standing in basement, water glass rippling on table. Camera: Slow, gentle zoom in toward water glass ripples, 10% zoom over full duration. Ceiling light sways slightly, water surface ripples. Minimalist stickman animation, flat illustration style, concrete basement background. Duration: 10.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C056","PV_0006_056","60","62","9.4","SLOW_PAN_RIGHT","No figure movement  -  camera pans slowly across four empty chairs with different insignia","Four empty chairs in row, each with different insignia draped over backrest, ruined command center behind. Camera: Slow horizontal pan right across all four empty chairs, steady pace. No movement  -  memorial stillness, dust particles float. Minimalist stickman animation, flat illustration style, ruined command center background. Duration: 9.4 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C057","PV_0006_057","63","65","11.7","PUSH_IN","Hands freeze  -  knuckles whiten  -  then slow breath  -  then hands resume motion","Stickman hands pressed on table edge, knuckles whitening, body frozen. Camera: Slow camera push in toward hands and table edge, emotional intensity. Hands freeze, knuckles whiten, slow breath visible, then hands resume motion. Minimalist stickman animation, flat illustration style, grey vignette background. Duration: 11.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C058","PV_0006_058","66","66","9.3","SLOW_ZOOM_IN","Stickman stands alone in basement  -  distant smoke visible through small window","Stickman in flak vest standing alone in undocumented basement, smoke columns visible through small window. Camera: Slow, gentle zoom in toward subject and window view, 10% zoom over full duration. Stickman stands motionless. Minimalist stickman animation, flat illustration style, bare concrete basement background. Duration: 9.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C059","PV_0006_059","58","58","15.3","PUSH_IN","Stickman stands still  -  shadow behind him slowly transforms from current silhouette to young self","Stickman in uniform standing still, shadow behind transforming to younger 21-year-old self silhouette. Camera: Slow camera push in toward subject and shadow, emotional intensity. Shadow slowly morphs from current to younger form. Minimalist stickman animation, flat illustration style, blue wash edges. Duration: 15.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C060","PV_0006_060","67","68","11.2","SLOW_ZOOM_IN","Stickman picks up phone receiver  -  holds to ear  -  yellow diesel light flickers","Stickman in flak vest standing in bunker holding phone receiver to ear, yellow diesel lighting. Camera: Slow, gentle zoom in toward phone and face, 10% zoom over full duration. Stickman lifts receiver to ear  -  yellow light flickers. Minimalist stickman animation, flat illustration style, military bunker background. Duration: 11.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C061","PV_0006_061","70","71","13.0","SLOW_PAN_RIGHT","Stickman points at organizational chart  -  tracing severed connections","Stickman in uniform at organizational chart with every position above marked with X or crater. Camera: Slow horizontal pan right across chart and subject, steady pace. Stickman points and traces severed connections on chart. Minimalist stickman animation, flat illustration style, rebuilt command center background. Duration: 13.0 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C062","PV_0006_062","72","72","10.2","SLOW_ZOOM_IN","Stickman draws circles and connections on whiteboard  -  marker moving","Stickman at whiteboard drawing decentralized web structure, officers watching from folding chairs. Camera: Slow, gentle zoom in toward whiteboard diagram, 10% zoom over full duration. Whiteboard marker draws circles and connecting lines. Minimalist stickman animation, flat illustration style, temporary command post background. Duration: 10.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
