Clip_ID,Source_Strip,Start_VO_ID,End_VO_ID,Duration_Sec,Camera_Movement,Animation_Note,Veo_Prompt
PV_0014_C014,PV_0014_014,35,36,10.2,SLOW_ZOOM_IN,"Faceless child approaches subject's corner table hesitantly, subject looks uncertain","Short child stickman eating alone at cafeteria corner. Another faceless child approaching hesitantly with tray. Bright school cafeteria. Slow, gentle zoom in toward subject, 10% zoom over full duration. Approaching child steps closer hesitantly. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C015,PV_0014_015,37,39,10.3,SLOW_ZOOM_OUT,"Stickman walks toward exit, camera pulls back revealing empty table behind","Short child stickman walking away from cafeteria table toward exit. Groups of faceless children clustered at other tables. Slow, gentle zoom out from subject, revealing wider cafeteria and isolation. Stickman walks toward exit. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C016,PV_0014_016,40,42,8.3,STATIC,"Both sides of split animate independently - left side chaotic motion, right side calm equations","Vertical split composition. Left: chaotic social schoolyard scene with faceless children interacting. Right: same child alone at desk with clean equations on chalkboard. Fixed camera, no movement. Both sides animate independently. Minimalist stickman animation, flat illustration style. Duration: 8.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C017,PV_0014_017,43,45,9.3,STATIC,"Left panel fades, right panel fades in - crossfade transition showing age jump","Two-panel layout. Left: short child stickman reading in bright classroom. Right: teen stickman with messier curly hair at computer at 2am with blue glow. Fixed camera, no movement. Left panel fades, right panel fades in - crossfade transition. Minimalist stickman animation, flat illustration style. Duration: 9.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C018,PV_0014_018,46,48,9.2,SLOW_ZOOM_IN,"Teen stickman scrolls through website, screen glow illuminates face","Teen stickman with messy curly hair at bedroom desk at night, computer showing charitable cause diagrams. Blue screen glow. Slow, gentle zoom in toward subject, 10% zoom over full duration. Teen scrolls through website, screen glow on face. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C019,PV_0014_019,49,51,9.8,SLOW_ZOOM_IN,"Stickman gestures at infographic wall, tracing connections between icons","Teen stickman standing before wall of infographic diagrams connecting dollars to medical icons. Warm desk lamp. Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman traces connections between icons. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C020,PV_0014_020,52,54,6.5,SLOW_ZOOM_OUT,"Stickman stands on elevated platform, camera reveals smaller icons below","Teen stickman standing tall on elevated platform with smaller doctor and politician icons below. Impact scale rising. Slow, gentle zoom out revealing full comparison scale. Stickman stands tall. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 6.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C021,PV_0014_021,55,56,10.7,SLOW_ZOOM_IN,"Stickman looks at converging arrows, golden light emanates from convergence point","Teen stickman at desk with mathematical and moral arrows converging to same point. Golden light at convergence. Slow, gentle zoom in toward convergence point, 10% zoom over full duration. Golden light emanates from point. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C022,PV_0014_022,57,59,8.9,SLOW_ZOOM_IN,"Stickman reads with warm golden light, faint courtroom shadow grows behind on wall","Teen stickman illuminated by golden light from text on desk. Faint dark courtroom shadow forming on wall behind. Slow, gentle zoom in toward subject, 10% zoom over full duration. Shadow grows gradually behind. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C023,PV_0014_023,60,60,3.8,SLOW_PAN_RIGHT,"Stickman steps through bright doorway, shadow stretches behind","Teen stickman silhouetted in bright doorway stepping forward. Unseen dark shadow behind. Slow horizontal pan right, steady pace. Stickman steps through doorway. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 3.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C024,PV_0014_024,61,63,8.3,SLOW_PAN_RIGHT,"Stickman in graduation cap walks away from university gates, not looking back","Young adult stickman with messy curly hair in graduation cap and gown walking away from university gates. Autumn sunset. Slow horizontal pan right, steady pace. Stickman walks forward, not looking back. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C025,PV_0014_025,64,68,10.2,SLOW_PAN_RIGHT,"Stickman at trading desk typing, monitors flicker with market data, suited figures work around","Tall stickman with messy curly hair in dark suit at Wall Street trading desk. Multiple monitors with market data. Faceless suited figures at adjacent desks. Slow horizontal pan right, steady pace. Stickman types, monitors flicker. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C026,PV_0014_026,69,71,8.3,SLOW_ZOOM_IN,"Stickman points at price gap on screen, gap glows brighter","Tall stickman pointing at dual monitors showing market price charts with gaps highlighted. Arbitrage opportunities glowing. Slow, gentle zoom in toward screens, 10% zoom over full duration. Stickman points at gap, gap glows brighter. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C027,PV_0014_027,72,75,9.7,SLOW_PAN_RIGHT,"Stickman types efficiently at desk, faceless traders work slower in background","Tall stickman with messy curly hair in dark suit at desk typing efficiently. Faceless suited figures working slower in background. Cool blue monitor light. Slow horizontal pan right, steady pace. Stickman types fast, others slower. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C028,PV_0014_028,76,79,5.6,STATIC,"Both stickmen walk forward simultaneously - left side narrow gaps, right side wide gaps glowing","Vertical split composition. Left: Wall Street chart with narrow price gaps. Right: crypto chart with massive wide price gaps glowing golden. Fixed camera, no movement. Both sides animate - left gaps stay small, right gaps glow wider. Minimalist stickman animation, flat illustration style. Duration: 5.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C029,PV_0014_029,80,83,10.7,STATIC,"Left panel fades, right panel fades in - crossfade transition showing career change","Two-panel layout. Left: stickman in suit at corporate trading desk. Right: same stickman in T-shirt and cargo shorts walking out of office building into sunlight. Faceless boss watching through glass. Fixed camera, no movement. Left panel fades, right panel fades in. Minimalist stickman animation, flat illustration style. Duration: 10.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C030,PV_0014_030,84,87,9.7,SLOW_PAN_RIGHT,"Stickman sets up monitor on makeshift desk, noodle cups scattered around","Tall stickman with wild curly hair in T-shirt and cargo shorts setting up monitor in cramped apartment. Mattresses on floor, noodle cups, tangled cables. Slow horizontal pan right, steady pace. Stickman sets up equipment. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C031,PV_0014_031,88,90,9.2,SLOW_ZOOM_IN,"Subject works at desk while three faceless stickmen sleep on mattresses around him","Tall stickman with wild curly hair at desk working while three faceless stickmen sleep on floor mattresses. Clock past midnight. Blue screen glow. Slow, gentle zoom in toward subject, 10% zoom over full duration. Subject works, others sleep. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C032,PV_0014_032,91,93,9.8,SLOW_ZOOM_IN,"Stickman at center of glowing screen arc, arms spread slightly, screens pulse","Tall stickman with wild curly hair standing at center of circular arrangement of glowing screens. Arms slightly spread, heroic framing. Late night. Slow, gentle zoom in toward subject, 10% zoom over full duration. Screens pulse with data. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C033,PV_0014_033,94,95,8.5,SLOW_ZOOM_IN,"Stickman nods to self looking at green spreadsheet, warm golden glow from screen","Tall stickman with wild curly hair looking at spreadsheet showing all green numbers. Nodding to self. Warm golden glow from screen. Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman nods self-reassuringly. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C034,PV_0014_034,96,98,7.4,SLOW_PAN_RIGHT,"Stickman watches revenue counter climb, green arrows animate upward","Tall stickman with wild curly hair in T-shirt before massive screen showing revenue climbing past hundreds of millions. Green arrows rising. Slow horizontal pan right, steady pace. Stickman watches counter climb, arrows animate upward. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 7.4 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C035,PV_0014_035,99,101,7.9,SLOW_PAN_RIGHT,"Subject runs ahead on track, blurred competitors fall behind, motto glows above","Tall stickman with wild curly hair running ahead on digital track. Blurred faceless competitors trailing far behind. Philosophy motto floating above in gold. Slow horizontal pan right, steady pace. Subject runs ahead, competitors lag. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 7.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C036,PV_0014_036,102,104,11.1,SLOW_PAN_RIGHT,"Subject sits between two screens looking left then right, charts animate","Tall stickman with wild curly hair between two large screens - left showing profit charts climbing, right showing donation tracker. Slow horizontal pan right, steady pace. Subject looks left then right, charts animate. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 11.1 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C037,PV_0014_037,105,106,8.4,SLOW_ZOOM_IN,"Stickman leans back slightly in chair, screens glow green around him","Tall stickman with wild curly hair alone at desk, all screens showing green validating numbers. Leaning back in chair. Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman leans back slightly, screens glow. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.4 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C038,PV_0014_038,107,111,9.8,SLOW_ZOOM_OUT,"Stickman on balcony, camera pulls back to reveal tropical island and ocean panorama","Tall stickman with wild curly hair on penthouse balcony overlooking Caribbean island. Turquoise ocean, palm trees. Slow, gentle zoom out from subject, revealing wider tropical empire. Stickman stands on balcony, environment reveals. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C039,PV_0014_039,112,115,10.6,SLOW_PAN_RIGHT,"Subject turns away from ocean view toward indoor screens, pan reveals ironic contrast","Tall stickman with wild curly hair turned away from stunning ocean sunset, hunched over desk facing screens. Caribbean penthouse interior. Slow horizontal pan right from ocean view to screen-lit subject, steady pace. Subject ignores paradise. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C040,PV_0014_040,116,119,9.3,STATIC,"Both sides of split animate - left side pristine luxury, right side chaotic workspace with people moving","Vertical split. Left: pristine luxury penthouse. Right: same space converted to chaotic workspace with faceless stickmen working/sleeping. Fixed camera, no movement. Both sides animate independently - left pristine, right chaotic. Minimalist stickman animation, flat illustration style. Duration: 9.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C041,PV_0014_041,120,122,7.8,SLOW_ZOOM_IN,"Stickman on beanbag, screens pulse with data, AC vent hums above","Tall stickman with wild curly hair on beanbag surrounded by screens that never turn off. AC vent on ceiling. Blue glow. Slow, gentle zoom in toward subject, 10% zoom over full duration. Screens pulse, AC hums. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 7.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C042,PV_0014_042,123,123,3.7,SLOW_PAN_RIGHT,"Stickman wakes on beanbag, looks around at running screens casually","Tall stickman with wild curly hair waking up on beanbag, screens still running from last night. Morning light mixing with screen glow. Slow horizontal pan right, steady pace. Stickman wakes, looks around casually. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 3.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C043,PV_0014_043,124,127,9.3,SLOW_PAN_RIGHT,"Subject shakes hands with faceless investors, golden money flow animates entering building","Tall stickman with wild curly hair shaking hands with faceless suited investors at conference table. Document folders on table. Ocean through glass walls. Slow horizontal pan right, steady pace. Handshake, golden flow enters. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C044,PV_0014_044,128,132,10.7,SLOW_PAN_RIGHT,"Subject walks past wall of framed magazine covers, spotlight shifts across frames","Tall stickman with wild curly hair walking past wall of framed magazine covers. Glowing headlines. Bookmarked articles on monitor. Slow horizontal pan right, steady pace. Subject walks past, spotlight shifts across frames. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C045,PV_0014_045,133,136,10.7,SLOW_PAN_RIGHT,"Subject at podium in cargo shorts, faceless senators gesture approvingly, cameras flash","Tall stickman with wild curly hair in cargo shorts at congressional hearing podium. Faceless senators at elevated bench nodding. Grand hearing room. Slow horizontal pan right, steady pace. Senators gesture approvingly. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C046,PV_0014_046,137,137,2.3,SLOW_ZOOM_IN,"Close-up of hand on game controller, thumb presses joystick, meeting audio plays on adjacent screen","Close-up of stickman hand holding game controller at desk. Meeting video call on adjacent screen showing faceless suited figures. Slow, gentle zoom in toward controller, 10% zoom over full duration. Thumb presses joystick. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 2.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C047,PV_0014_047,138,139,8.9,SLOW_PAN_RIGHT,"Subject slouched playing game, occasionally glancing at smaller meeting screen dismissively","Tall stickman with wild curly hair slouched playing game on main screen. Board call on smaller monitor. Slow horizontal pan right, steady pace. Subject plays game, occasionally glances dismissively at meeting. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C048,PV_0014_048,140,141,6.5,SLOW_ZOOM_IN,"Awkward handshake held too long, subject's body language stiff and uncertain","Tall stickman with wild curly hair in cargo shorts shaking hand with faceless suited figure in formal corridor. Awkward held handshake. Slow, gentle zoom in toward handshake, 10% zoom over full duration. Handshake held uncomfortably long. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 6.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C049,PV_0014_049,142,145,9.7,SLOW_PAN_RIGHT,"Subject directs golden money flows to both political podiums equally, arrows animate","Tall stickman with wild curly hair standing between two political podiums directing equal golden money flows to both sides. Faceless political figures receiving. Slow horizontal pan right, steady pace. Money flows animate to both sides. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C050,PV_0014_050,146,147,5.1,SLOW_ZOOM_IN,"Calculation diagrams float and connect around subject, web of purpose animates","Tall stickman with wild curly hair surrounded by floating calculation diagrams connecting people to dollars. Mathematical web. Slow, gentle zoom in toward subject, 10% zoom over full duration. Diagrams float and connect. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 5.1 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C051,PV_0014_051,148,149,9.2,SLOW_PAN_RIGHT,"Subject gestures at whiteboard, confused listener tilts head, equations remain incomprehensible","Tall stickman with wild curly hair gesturing at whiteboard of equations. Faceless listener sitting confused, head tilted. Slow horizontal pan right, steady pace. Subject gestures, listener tilts head in confusion. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C052,PV_0014_052,150,152,9.3,SLOW_PAN_RIGHT,"Three sequential routine panels animate: same meal, same clothes, same position","Three-panel daily routine: same meal, same cargo shorts, same desk position. Groundhog day loop. Slow horizontal pan right across panels, steady pace. Each panel animates identically. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C053,PV_0014_053,153,156,10.2,SLOW_ZOOM_IN,"Subject's finger taps table edge once - single nervous tic, then stops","Tall stickman with wild curly hair at cluttered desk, finger tapping table edge. Cables tangling, disorder creeping in. Slow, gentle zoom in toward subject, 10% zoom over full duration. Finger taps once, then stops. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C054,PV_0014_054,157,160,7.4,SLOW_ZOOM_IN,"Subject glances at hidden red screen behind main monitors, losses accumulate","Tall stickman with wild curly hair looking at hidden smaller screen showing red loss numbers behind main green screens. Slow, gentle zoom in toward hidden screen, 10% zoom over full duration. Losses accumulate on hidden display. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 7.4 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C055,PV_0014_055,161,163,10.2,SLOW_ZOOM_IN,"Two chart lines diverge on screen - model up, reality crashing down, red indicators flash","Two chart lines on screen diverging sharply. Model prediction rising, reality crashing. Red warning indicators. Slow, gentle zoom in toward diverging charts, 10% zoom over full duration. Lines diverge, red indicators flash. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C056,PV_0014_056,164,168,9.3,SLOW_ZOOM_IN,"Dark pit grows larger, dollar signs fall in from customer pipeline above","Subject standing at edge of dark expanding pit. Dollar signs flowing in from customer pipeline above. Pit growing. Slow, gentle zoom in toward pit edge, 10% zoom over full duration. Pit expands, dollars fall in. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C057,PV_0014_057,169,171,8.8,SLOW_PAN_RIGHT,"Arrows flow between two buildings through hidden pathway, subject stands between","Two building shapes connected by hidden arrows. Golden flow moving from exchange to trading firm through tunnel. Subject between buildings. Slow horizontal pan right, steady pace. Arrows flow through hidden pathway. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C058,PV_0014_058,172,172,8.3,SLOW_PAN_RIGHT,"Time-lapse: window light changes from yellow to white to blue, subject stays in same position","Three-part time-lapse in single composition: morning, afternoon, night - same subject at same desk. Window light changes. Slow horizontal pan right, steady pace. Light transitions as time passes. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C059,PV_0014_059,173,173,4.2,SLOW_ZOOM_IN,"Close-up of cold coffee mug, screen light reflects on dark liquid surface","Close-up still life: cold coffee mug on desk, steam gone. Blue screen light reflecting on dark liquid. Subject's hand nearby. Slow, gentle zoom in toward mug, 10% zoom over full duration. Still composition, light reflects. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 4.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C060,PV_0014_060,174,176,7,SLOW_ZOOM_IN,"Subject and co-founder look at code on screen, hidden doorway icon pulses subtly","Tall stickman with wild curly hair beside slim faceless co-founder looking at code with hidden doorway icon on screen. Slow, gentle zoom in toward screen, 10% zoom over full duration. Doorway icon pulses subtly. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 7.0 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
