Slate,Start_VO_ID,End_VO_ID,Life_Phase,Scene_Type,Duration_Sec
PV_0003_096,140,140,PHASE_PRESENT,NARRATIVE_SCENE,6.9
PV_0003_097,141,141,PHASE_PRESENT,NARRATIVE_SCENE,6.0
PV_0003_098,142,142,PHASE_PRESENT,NARRATIVE_SCENE,12.9
PV_0003_099,143,143,PHASE_PRESENT,NARRATIVE_SCENE,13.4
PV_0003_100,144,144,PHASE_PRESENT,NARRATIVE_SCENE,5.1
PV_0003_101,145,146,PHASE_PRESENT,NARRATIVE_SCENE,11.1
PV_0003_102,147,148,PHASE_PRESENT,NARRATIVE_SCENE,18.9
PV_0003_103,149,150,PHASE_PRESENT,NARRATIVE_SCENE,12.0
PV_0003_104,151,152,PHASE_PRESENT,NARRATIVE_SCENE,10.6
PV_0003_105,153,154,PHASE_PRESENT,NARRATIVE_SCENE,16.2
PV_0003_106,155,156,PHASE_PRESENT,NARRATIVE_SCENE,7.8
PV_0003_107,157,157,PHASE_PRESENT,TEXT_OVERLAY,7.5
PV_0003_108,158,159,PHASE_PRESENT,NARRATIVE_SCENE,8.8
PV_0003_109,160,161,PHASE_PRESENT,NARRATIVE_SCENE,9.3
PV_0003_110,162,162,PHASE_PRESENT,NARRATIVE_SCENE,6.0
PV_0003_111,163,164,CALLBACK_CLOSE,NARRATIVE_SCENE,9.7
PV_0003_112,165,165,CALLBACK_CLOSE,TEXT_OVERLAY,6.6
PV_0003_113,166,167,CALLBACK_CLOSE,TEXT_OVERLAY,10.8
